Label,label_idx,n_pos,n_total,threshold,sensitivity,sensitivity_ci,specificity,specificity_ci,f1,f1_ci,ppv,ppv_ci,npv,npv_ci,auroc,auroc_ci,auprc,auprc_ci
SINUS RHYTHM,3,197,1220,0.28,0.832,"(0.775, 0.88)",0.935,"(0.919, 0.946)",0.766,"(0.726, 0.805)",0.71,"(0.646, 0.759)",0.967,"(0.957, 0.975)",0.949,"(0.929, 0.963)",0.83,"(0.784, 0.876)"
SINUS BRADYCARDIA,4,12,1220,0.04,0.417,"(0.157, 0.76)",0.986,"(0.98, 0.992)",0.294,"(0.156, 0.482)",0.227,"(0.1, 0.423)",0.994,"(0.991, 0.998)",0.8,"(0.687, 0.915)",0.224,"(0.095, 0.554)"
ATRIAL FIBRILLATION,5,279,1220,0.54,0.892,"(0.858, 0.92)",0.977,"(0.972, 0.985)",0.905,"(0.878, 0.926)",0.919,"(0.89, 0.95)",0.968,"(0.957, 0.977)",0.982,"(0.976, 0.988)",0.947,"(0.928, 0.967)"
SINUS TACHYCARDIA,6,66,1220,0.26,0.394,"(0.298, 0.527)",0.98,"(0.971, 0.985)",0.452,"(0.348, 0.559)",0.531,"(0.397, 0.638)",0.966,"(0.949, 0.973)",0.921,"(0.902, 0.944)",0.433,"(0.351, 0.582)"
RIGHT BUNDLE BRANCH BLOCK,11,355,1220,0.47,0.91,"(0.884, 0.934)",0.945,"(0.928, 0.96)",0.89,"(0.868, 0.913)",0.871,"(0.837, 0.905)",0.962,"(0.95, 0.974)",0.97,"(0.961, 0.979)",0.921,"(0.895, 0.943)"
T WAVE ABNORMAL,14,4,1220,0.01,0.0,"(0.0, 0.0)",0.981,"(0.973, 0.988)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.997,"(0.994, 1.0)",0.791,"(0.639, 0.954)",0.016,"(0.004, 0.055)"
PREMATURE ATRIAL CONTRACTION,16,135,1220,0.29,0.719,"(0.664, 0.782)",0.935,"(0.914, 0.947)",0.642,"(0.583, 0.718)",0.581,"(0.509, 0.649)",0.964,"(0.949, 0.976)",0.941,"(0.921, 0.957)",0.681,"(0.601, 0.746)"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,18,17,1220,0.01,0.353,"(0.086, 0.544)",0.796,"(0.777, 0.819)",0.045,"(0.015, 0.082)",0.024,"(0.005, 0.038)",0.989,"(0.982, 0.993)",0.77,"(0.725, 0.811)",0.029,"(0.018, 0.041)"
LEFT BUNDLE BRANCH BLOCK,20,53,1220,0.15,0.811,"(0.721, 0.887)",0.984,"(0.977, 0.991)",0.748,"(0.656, 0.831)",0.694,"(0.564, 0.806)",0.991,"(0.985, 0.995)",0.962,"(0.936, 0.983)",0.783,"(0.686, 0.879)"
T WAVE INVERSION,23,1,1220,0.01,0.0,"(0.0, 0.0)",0.998,"(0.994, 1.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.999,"(0.998, 1.0)",0.799,"(0.776, 0.822)",0.004,"(0.004, 0.016)"
ATRIAL FLUTTER,32,11,1220,0.08,0.455,"(0.224, 0.657)",0.998,"(0.997, 1.0)",0.556,"(0.296, 0.739)",0.714,"(0.296, 1.0)",0.995,"(0.992, 0.998)",0.95,"(0.929, 0.973)",0.47,"(0.253, 0.749)"
SINUS ARRHYTHMIA,34,1,1220,0.01,1.0,"(0.0, 1.0)",0.998,"(0.995, 1.0)",0.4,"(0.0, 0.8)",0.25,"(0.0, 1.0)",1.0,"(1.0, 1.0)",0.999,"(0.997, 1.0)",0.5,"(0.25, 1.0)"
1ST DEGREE AV BLOCK,79,172,1220,0.36,0.756,"(0.695, 0.801)",0.952,"(0.945, 0.965)",0.739,"(0.681, 0.781)",0.722,"(0.672, 0.791)",0.96,"(0.946, 0.969)",0.929,"(0.902, 0.951)",0.792,"(0.726, 0.842)"
