Label,label_idx,n_pos,n_total,threshold,sensitivity,sensitivity_ci,specificity,specificity_ci,f1,f1_ci,ppv,ppv_ci,npv,npv_ci,auroc,auroc_ci,auprc,auprc_ci
SINUS RHYTHM,3,197,1220,0.99,0.558,"(0.495, 0.601)",0.751,"(0.723, 0.778)",0.391,"(0.349, 0.449)",0.301,"(0.253, 0.344)",0.898,"(0.877, 0.918)",0.728,"(0.69, 0.775)",0.46,"(0.417, 0.529)"
SINUS BRADYCARDIA,4,12,1220,0.99,0.333,"(0.09, 0.587)",0.987,"(0.98, 0.993)",0.25,"(0.063, 0.44)",0.2,"(0.01, 0.384)",0.993,"(0.988, 0.997)",0.723,"(0.48, 0.862)",0.101,"(0.026, 0.251)"
ATRIAL FIBRILLATION,5,279,1220,0.67,0.839,"(0.795, 0.887)",0.97,"(0.961, 0.98)",0.865,"(0.83, 0.89)",0.893,"(0.849, 0.923)",0.953,"(0.941, 0.963)",0.969,"(0.962, 0.978)",0.91,"(0.883, 0.931)"
SINUS TACHYCARDIA,6,66,1220,0.98,0.485,"(0.392, 0.61)",0.912,"(0.901, 0.919)",0.32,"(0.256, 0.4)",0.239,"(0.179, 0.293)",0.969,"(0.959, 0.978)",0.872,"(0.846, 0.898)",0.309,"(0.192, 0.423)"
RIGHT BUNDLE BRANCH BLOCK,11,355,1220,0.29,0.862,"(0.833, 0.896)",0.918,"(0.899, 0.937)",0.836,"(0.803, 0.87)",0.812,"(0.771, 0.845)",0.942,"(0.923, 0.953)",0.947,"(0.936, 0.958)",0.872,"(0.839, 0.901)"
T WAVE ABNORMAL,14,4,1220,0.36,0.75,"(0.269, 1.0)",0.77,"(0.747, 0.794)",0.021,"(0.0, 0.041)",0.011,"(0.0, 0.019)",0.999,"(0.997, 1.0)",0.738,"(0.51, 0.862)",0.008,"(0.003, 0.025)"
PREMATURE ATRIAL CONTRACTION,16,135,1220,0.53,0.563,"(0.497, 0.647)",0.958,"(0.948, 0.965)",0.591,"(0.505, 0.648)",0.623,"(0.532, 0.689)",0.946,"(0.934, 0.958)",0.876,"(0.853, 0.899)",0.557,"(0.449, 0.642)"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,18,17,1220,0.07,0.765,"(0.572, 0.99)",0.567,"(0.543, 0.586)",0.047,"(0.03, 0.067)",0.024,"(0.014, 0.036)",0.994,"(0.988, 0.999)",0.657,"(0.547, 0.763)",0.021,"(0.014, 0.039)"
LEFT BUNDLE BRANCH BLOCK,20,53,1220,0.56,0.491,"(0.373, 0.63)",0.997,"(0.993, 1.0)",0.627,"(0.512, 0.724)",0.867,"(0.732, 0.969)",0.977,"(0.967, 0.984)",0.897,"(0.855, 0.936)",0.604,"(0.519, 0.738)"
T WAVE INVERSION,23,1,1220,0.37,1.0,"(0.0, 1.0)",0.98,"(0.974, 0.987)",0.077,"(0.0, 0.227)",0.04,"(0.0, 0.124)",1.0,"(1.0, 1.0)",0.98,"(0.974, 0.984)",0.04,"(0.036, 0.161)"
ATRIAL FLUTTER,32,11,1220,0.94,0.545,"(0.352, 0.798)",0.995,"(0.992, 0.998)",0.522,"(0.333, 0.697)",0.5,"(0.25, 0.844)",0.996,"(0.991, 0.999)",0.935,"(0.883, 0.97)",0.502,"(0.096, 0.741)"
SINUS ARRHYTHMIA,34,1,1220,0.95,1.0,"(0.0, 1.0)",0.999,"(0.998, 1.0)",0.667,"(0.0, 1.0)",0.5,"(0.0, 1.0)",1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)",1.0,"(1.0, 1.0)"
1ST DEGREE AV BLOCK,79,172,1220,0.01,0.581,"(0.515, 0.642)",0.773,"(0.749, 0.799)",0.392,"(0.352, 0.425)",0.296,"(0.244, 0.348)",0.918,"(0.903, 0.941)",0.739,"(0.699, 0.791)",0.358,"(0.297, 0.449)"
