n_labels_reported,mean_sensitivity,mean_specificity,mean_f1,mean_ppv,mean_npv,mean_auroc,mean_auprc,macro_auroc,macro_auprc,n_labels_macro_auc,micro_auroc,micro_auprc,hospital,mode,n_samples,elapsed_s
17,0.7998,0.951,0.6018,0.5396,0.9875,0.9486,0.5623,0.9486,0.5622,17,0.9516,0.7039,Chapman,zero_shot,0,44.5
17,0.7708,0.9598,0.6246,0.5644,0.9869,0.9516,0.5791,0.9517,0.579,17,0.9583,0.7341,Chapman,fine_tune,100,20.4
17,0.7408,0.963,0.6277,0.5691,0.9879,0.9526,0.5831,0.9526,0.583,17,0.9677,0.7802,Chapman,fine_tune,500,38.8
17,0.7308,0.9601,0.6114,0.5712,0.9872,0.9482,0.5614,0.9481,0.5615,17,0.9735,0.8456,Chapman,fine_tune,1000,50.8
17,0.7721,0.9716,0.6584,0.6132,0.9882,0.958,0.6124,0.958,0.6124,17,0.9854,0.9041,Chapman,fine_tune,3000,125.2
17,0.7815,0.9714,0.6878,0.6456,0.9901,0.9653,0.653,0.9652,0.6529,17,0.9879,0.9153,Chapman,fine_tune,6000,226.4
17,0.7975,0.9712,0.6881,0.6376,0.9906,0.9695,0.6438,0.9695,0.6437,17,0.9889,0.9176,Chapman,fine_tune,8000,224.2
17,0.7886,0.9758,0.6771,0.6283,0.9891,0.9714,0.6399,0.9714,0.6399,17,0.9895,0.9208,Chapman,fine_tune,10000,267.5
17,0.5204,0.7765,0.2469,0.1931,0.9704,0.7522,0.2059,0.7522,0.2059,17,0.8459,0.4941,Chapman,scratch,100,33.2
17,0.5654,0.8693,0.3309,0.2744,0.9748,0.8106,0.2749,0.8106,0.2749,17,0.9272,0.7185,Chapman,scratch,500,72.3
17,0.52,0.9372,0.4027,0.3668,0.9762,0.87,0.3637,0.8701,0.3637,17,0.9512,0.7819,Chapman,scratch,1000,132.7
17,0.6395,0.957,0.5195,0.4731,0.9831,0.9244,0.46,0.9245,0.46,17,0.9707,0.8365,Chapman,scratch,3000,356.8
17,0.6042,0.9695,0.5443,0.503,0.9827,0.9343,0.5276,0.9342,0.5277,17,0.9727,0.8578,Chapman,scratch,6000,672.4
17,0.6535,0.968,0.5754,0.5611,0.9854,0.9412,0.5455,0.9413,0.5455,17,0.9742,0.8616,Chapman,scratch,8000,890.6
17,0.6104,0.9726,0.5837,0.5903,0.9843,0.9432,0.5688,0.9432,0.5689,17,0.9766,0.8688,Chapman,scratch,10000,1123.0
