Label,label_idx,n_pos,n_total,threshold,sensitivity,sensitivity_ci,specificity,specificity_ci,f1,f1_ci,ppv,ppv_ci,npv,npv_ci,auroc,auroc_ci,auprc,auprc_ci
SINUS RHYTHM,3,359,2000,0.59,0.916,"(0.896, 0.938)",0.996,"(0.993, 0.999)",0.947,"(0.929, 0.961)",0.979,"(0.966, 0.993)",0.982,"(0.975, 0.987)",0.995,"(0.992, 0.998)",0.985,"(0.98, 0.99)"
SINUS BRADYCARDIA,4,735,2000,0.53,0.995,"(0.989, 0.999)",0.991,"(0.985, 0.995)",0.989,"(0.984, 0.994)",0.984,"(0.97, 0.991)",0.997,"(0.994, 0.999)",0.999,"(0.997, 1.0)",0.997,"(0.994, 1.0)"
ATRIAL FIBRILLATION,5,84,2000,0.09,0.929,"(0.854, 0.968)",0.867,"(0.856, 0.879)",0.374,"(0.314, 0.418)",0.234,"(0.19, 0.279)",0.996,"(0.994, 0.999)",0.934,"(0.92, 0.947)",0.264,"(0.193, 0.336)"
SINUS TACHYCARDIA,6,363,2000,0.38,0.983,"(0.967, 0.994)",0.996,"(0.994, 0.998)",0.983,"(0.975, 0.991)",0.983,"(0.97, 0.995)",0.996,"(0.993, 0.999)",0.999,"(0.999, 1.0)",0.997,"(0.994, 0.999)"
LEFT AXIS DEVIATION,8,81,2000,0.23,0.815,"(0.726, 0.899)",0.981,"(0.975, 0.987)",0.717,"(0.672, 0.774)",0.641,"(0.523, 0.721)",0.992,"(0.987, 0.996)",0.987,"(0.985, 0.992)",0.708,"(0.621, 0.801)"
RIGHT BUNDLE BRANCH BLOCK,11,22,2000,0.19,1.0,"(1.0, 1.0)",0.975,"(0.97, 0.983)",0.473,"(0.35, 0.577)",0.31,"(0.221, 0.405)",1.0,"(1.0, 1.0)",0.989,"(0.983, 0.994)",0.443,"(0.286, 0.608)"
T WAVE ABNORMAL,14,355,2000,0.3,0.777,"(0.741, 0.805)",0.906,"(0.895, 0.921)",0.703,"(0.662, 0.74)",0.642,"(0.602, 0.69)",0.95,"(0.94, 0.957)",0.921,"(0.905, 0.932)",0.702,"(0.65, 0.754)"
LOW QRS VOLTAGES,15,48,2000,0.1,0.438,"(0.317, 0.534)",0.964,"(0.956, 0.971)",0.3,"(0.216, 0.374)",0.228,"(0.145, 0.316)",0.986,"(0.981, 0.99)",0.884,"(0.836, 0.908)",0.189,"(0.141, 0.281)"
PREMATURE ATRIAL CONTRACTION,16,56,2000,0.34,0.929,"(0.85, 1.0)",0.991,"(0.988, 0.995)",0.825,"(0.738, 0.88)",0.743,"(0.64, 0.842)",0.998,"(0.996, 0.999)",0.996,"(0.994, 0.998)",0.881,"(0.811, 0.938)"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,18,6,2000,0.11,0.833,"(0.5, 1.0)",0.993,"(0.988, 0.995)",0.4,"(0.121, 0.562)",0.263,"(0.058, 0.495)",0.999,"(0.998, 1.0)",0.993,"(0.984, 0.998)",0.251,"(0.089, 0.685)"
LEFT BUNDLE BRANCH BLOCK,20,19,2000,0.14,0.632,"(0.41, 0.875)",0.994,"(0.992, 0.997)",0.571,"(0.447, 0.65)",0.522,"(0.389, 0.712)",0.996,"(0.994, 0.999)",0.948,"(0.863, 0.995)",0.452,"(0.3, 0.679)"
T WAVE INVERSION,23,134,2000,0.24,0.679,"(0.608, 0.754)",0.942,"(0.933, 0.95)",0.547,"(0.471, 0.62)",0.457,"(0.391, 0.512)",0.976,"(0.969, 0.983)",0.943,"(0.933, 0.952)",0.445,"(0.379, 0.527)"
ATRIAL FLUTTER,32,360,2000,0.55,0.978,"(0.96, 0.992)",0.945,"(0.933, 0.955)",0.878,"(0.855, 0.906)",0.796,"(0.764, 0.837)",0.995,"(0.992, 0.997)",0.978,"(0.973, 0.983)",0.873,"(0.834, 0.899)"
SINUS ARRHYTHMIA,34,113,2000,0.43,0.876,"(0.843, 0.912)",0.99,"(0.985, 0.994)",0.861,"(0.8, 0.903)",0.846,"(0.778, 0.921)",0.993,"(0.988, 0.997)",0.988,"(0.98, 0.995)",0.907,"(0.853, 0.943)"
LEFT ANTERIOR FASCICULAR BLOCK,36,14,2000,0.57,0.5,"(0.317, 0.895)",0.999,"(0.997, 1.0)",0.609,"(0.366, 0.894)",0.778,"(0.434, 1.0)",0.996,"(0.994, 0.998)",0.991,"(0.987, 0.996)",0.622,"(0.359, 0.836)"
RIGHT AXIS DEVIATION,37,41,2000,0.21,0.732,"(0.594, 0.878)",0.989,"(0.985, 0.993)",0.645,"(0.519, 0.787)",0.577,"(0.475, 0.701)",0.994,"(0.992, 0.998)",0.983,"(0.97, 0.99)",0.519,"(0.374, 0.661)"
1ST DEGREE AV BLOCK,79,50,2000,0.36,0.78,"(0.689, 0.873)",0.993,"(0.988, 0.996)",0.757,"(0.67, 0.858)",0.736,"(0.617, 0.856)",0.994,"(0.992, 0.997)",0.989,"(0.983, 0.995)",0.761,"(0.602, 0.854)"
