Label,label_idx,n_pos,n_total,threshold,sensitivity,sensitivity_ci,specificity,specificity_ci,f1,f1_ci,ppv,ppv_ci,npv,npv_ci,auroc,auroc_ci,auprc,auprc_ci
SINUS RHYTHM,3,359,2000,0.99,0.967,"(0.939, 0.984)",0.954,"(0.943, 0.964)",0.889,"(0.868, 0.91)",0.822,"(0.788, 0.859)",0.992,"(0.988, 0.995)",0.976,"(0.969, 0.983)",0.803,"(0.763, 0.866)"
SINUS BRADYCARDIA,4,735,2000,0.72,0.995,"(0.99, 0.998)",0.992,"(0.984, 0.995)",0.991,"(0.985, 0.995)",0.987,"(0.978, 0.993)",0.997,"(0.994, 0.999)",0.998,"(0.996, 0.999)",0.992,"(0.982, 0.999)"
ATRIAL FIBRILLATION,5,84,2000,0.94,0.976,"(0.947, 1.0)",0.855,"(0.838, 0.868)",0.369,"(0.327, 0.393)",0.228,"(0.183, 0.283)",0.999,"(0.998, 1.0)",0.932,"(0.92, 0.944)",0.294,"(0.234, 0.415)"
SINUS TACHYCARDIA,6,363,2000,0.92,0.953,"(0.93, 0.97)",0.991,"(0.987, 0.994)",0.956,"(0.942, 0.971)",0.958,"(0.936, 0.974)",0.99,"(0.984, 0.994)",0.995,"(0.992, 0.997)",0.955,"(0.924, 0.982)"
LEFT AXIS DEVIATION,8,81,2000,0.74,0.877,"(0.801, 0.939)",0.97,"(0.964, 0.979)",0.676,"(0.609, 0.741)",0.55,"(0.486, 0.624)",0.995,"(0.99, 0.998)",0.985,"(0.981, 0.989)",0.684,"(0.61, 0.785)"
RIGHT BUNDLE BRANCH BLOCK,11,22,2000,0.95,1.0,"(1.0, 1.0)",0.964,"(0.956, 0.973)",0.383,"(0.293, 0.467)",0.237,"(0.169, 0.342)",1.0,"(1.0, 1.0)",0.98,"(0.972, 0.985)",0.228,"(0.138, 0.339)"
T WAVE ABNORMAL,14,355,2000,0.32,0.744,"(0.691, 0.784)",0.819,"(0.802, 0.836)",0.576,"(0.538, 0.616)",0.47,"(0.43, 0.522)",0.937,"(0.924, 0.947)",0.87,"(0.853, 0.892)",0.615,"(0.572, 0.661)"
LOW QRS VOLTAGES,15,48,2000,0.65,0.333,"(0.235, 0.49)",0.97,"(0.964, 0.976)",0.262,"(0.157, 0.387)",0.216,"(0.15, 0.319)",0.983,"(0.978, 0.988)",0.783,"(0.719, 0.838)",0.182,"(0.118, 0.272)"
PREMATURE ATRIAL CONTRACTION,16,56,2000,0.68,0.857,"(0.774, 0.96)",0.994,"(0.991, 0.998)",0.828,"(0.745, 0.885)",0.8,"(0.705, 0.897)",0.996,"(0.992, 0.998)",0.995,"(0.993, 0.998)",0.878,"(0.762, 0.927)"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,18,6,2000,0.92,0.833,"(0.371, 1.0)",0.989,"(0.985, 0.993)",0.312,"(0.071, 0.458)",0.192,"(0.096, 0.326)",0.999,"(0.998, 1.0)",0.988,"(0.971, 0.997)",0.343,"(0.069, 0.592)"
LEFT BUNDLE BRANCH BLOCK,20,19,2000,0.96,0.632,"(0.451, 0.868)",0.997,"(0.994, 0.998)",0.649,"(0.481, 0.786)",0.667,"(0.474, 0.919)",0.996,"(0.994, 0.998)",0.904,"(0.812, 0.992)",0.502,"(0.329, 0.733)"
T WAVE INVERSION,23,134,2000,0.1,0.873,"(0.814, 0.924)",0.804,"(0.783, 0.822)",0.379,"(0.33, 0.415)",0.242,"(0.197, 0.277)",0.989,"(0.984, 0.994)",0.891,"(0.874, 0.908)",0.274,"(0.226, 0.338)"
ATRIAL FLUTTER,32,360,2000,0.11,0.778,"(0.73, 0.813)",0.927,"(0.914, 0.938)",0.737,"(0.7, 0.768)",0.7,"(0.661, 0.752)",0.95,"(0.941, 0.96)",0.942,"(0.934, 0.952)",0.762,"(0.714, 0.8)"
SINUS ARRHYTHMIA,34,113,2000,0.19,0.77,"(0.684, 0.832)",0.984,"(0.976, 0.988)",0.753,"(0.689, 0.799)",0.737,"(0.672, 0.84)",0.986,"(0.98, 0.991)",0.981,"(0.973, 0.987)",0.795,"(0.735, 0.854)"
LEFT ANTERIOR FASCICULAR BLOCK,36,14,2000,0.26,0.857,"(0.634, 1.0)",0.986,"(0.982, 0.989)",0.444,"(0.277, 0.6)",0.3,"(0.219, 0.43)",0.999,"(0.998, 1.0)",0.991,"(0.987, 0.995)",0.341,"(0.187, 0.57)"
RIGHT AXIS DEVIATION,37,41,2000,0.77,0.732,"(0.604, 0.889)",0.976,"(0.969, 0.983)",0.508,"(0.41, 0.611)",0.39,"(0.269, 0.467)",0.994,"(0.991, 0.997)",0.978,"(0.97, 0.985)",0.391,"(0.286, 0.577)"
1ST DEGREE AV BLOCK,79,50,2000,0.08,0.42,"(0.3, 0.537)",0.995,"(0.991, 0.997)",0.519,"(0.355, 0.654)",0.677,"(0.551, 0.818)",0.985,"(0.98, 0.99)",0.938,"(0.903, 0.966)",0.52,"(0.413, 0.599)"
