n_labels_reported,mean_sensitivity,mean_specificity,mean_f1,mean_ppv,mean_npv,mean_auroc,mean_auprc,macro_auroc,macro_auprc,n_labels_macro_auc,micro_auroc,micro_auprc,hospital,mode,n_samples,elapsed_s
17,0.7686,0.9314,0.6687,0.6152,0.9814,0.9415,0.6538,0.9416,0.6538,17,0.9348,0.5627,G12EC,zero_shot,0,49.9
17,0.7449,0.9418,0.6691,0.6244,0.9794,0.938,0.639,0.9381,0.6391,17,0.9404,0.6043,G12EC,fine_tune,100,23.9
17,0.7491,0.9378,0.6601,0.6215,0.9795,0.9319,0.6209,0.9319,0.6211,17,0.9442,0.657,G12EC,fine_tune,500,37.3
17,0.7323,0.9532,0.6656,0.619,0.9801,0.9395,0.6387,0.9396,0.6387,17,0.9524,0.7578,G12EC,fine_tune,1000,50.8
17,0.7294,0.9664,0.6931,0.6773,0.9801,0.9472,0.6918,0.9473,0.6919,17,0.9721,0.8324,G12EC,fine_tune,3000,118.1
17,0.7585,0.9579,0.7027,0.6785,0.9825,0.9517,0.711,0.9517,0.711,17,0.9747,0.844,G12EC,fine_tune,6000,194.8
17,0.6131,0.6969,0.2941,0.2302,0.9631,0.7152,0.249,0.7153,0.2491,17,0.7914,0.3997,G12EC,scratch,100,32.4
17,0.5429,0.8358,0.3784,0.3304,0.9595,0.7782,0.3262,0.7782,0.3261,17,0.8842,0.577,G12EC,scratch,500,75.1
17,0.5469,0.9105,0.4422,0.3913,0.9656,0.8375,0.3848,0.8375,0.3847,17,0.9097,0.6361,G12EC,scratch,1000,106.9
17,0.6151,0.9443,0.5486,0.5158,0.9727,0.8913,0.508,0.8912,0.5079,17,0.9349,0.7013,G12EC,scratch,3000,246.9
17,0.5918,0.959,0.5902,0.623,0.9722,0.9041,0.5628,0.9039,0.5627,17,0.9387,0.74,G12EC,scratch,6000,458.2
