Label,label_idx,n_pos,n_total,threshold,sensitivity,sensitivity_ci,specificity,specificity_ci,f1,f1_ci,ppv,ppv_ci,npv,npv_ci,auroc,auroc_ci,auprc,auprc_ci
SINUS RHYTHM,3,366,1765,0.57,0.861,"(0.833, 0.895)",0.971,"(0.962, 0.98)",0.874,"(0.854, 0.887)",0.887,"(0.856, 0.917)",0.964,"(0.954, 0.974)",0.977,"(0.969, 0.984)",0.917,"(0.884, 0.942)"
SINUS BRADYCARDIA,4,358,1765,0.42,0.986,"(0.977, 0.997)",0.989,"(0.985, 0.993)",0.971,"(0.959, 0.982)",0.957,"(0.939, 0.976)",0.996,"(0.991, 0.999)",0.997,"(0.996, 0.999)",0.983,"(0.967, 0.994)"
ATRIAL FIBRILLATION,5,114,1765,0.44,0.746,"(0.681, 0.812)",0.993,"(0.989, 0.996)",0.806,"(0.728, 0.868)",0.876,"(0.821, 0.925)",0.983,"(0.977, 0.987)",0.947,"(0.923, 0.969)",0.83,"(0.764, 0.874)"
SINUS TACHYCARDIA,6,249,1765,0.54,0.964,"(0.943, 0.98)",0.984,"(0.978, 0.989)",0.936,"(0.915, 0.954)",0.909,"(0.878, 0.937)",0.994,"(0.99, 0.997)",0.995,"(0.993, 0.997)",0.968,"(0.954, 0.98)"
LEFT AXIS DEVIATION,8,193,1765,0.3,0.922,"(0.888, 0.945)",0.955,"(0.947, 0.965)",0.805,"(0.767, 0.837)",0.715,"(0.673, 0.769)",0.99,"(0.984, 0.995)",0.98,"(0.975, 0.985)",0.833,"(0.777, 0.884)"
RIGHT BUNDLE BRANCH BLOCK,11,128,1765,0.56,0.836,"(0.794, 0.871)",0.99,"(0.985, 0.996)",0.849,"(0.804, 0.881)",0.863,"(0.823, 0.917)",0.987,"(0.983, 0.992)",0.98,"(0.965, 0.991)",0.878,"(0.829, 0.907)"
T WAVE ABNORMAL,14,433,1765,0.5,0.753,"(0.712, 0.785)",0.915,"(0.904, 0.928)",0.748,"(0.72, 0.777)",0.743,"(0.705, 0.777)",0.919,"(0.906, 0.929)",0.93,"(0.922, 0.94)",0.796,"(0.749, 0.836)"
LOW QRS VOLTAGES,15,77,1765,0.2,0.545,"(0.428, 0.653)",0.975,"(0.967, 0.98)",0.519,"(0.441, 0.595)",0.494,"(0.415, 0.578)",0.979,"(0.972, 0.983)",0.942,"(0.921, 0.961)",0.524,"(0.419, 0.632)"
PREMATURE ATRIAL CONTRACTION,16,130,1765,0.29,0.746,"(0.649, 0.81)",0.979,"(0.972, 0.985)",0.743,"(0.702, 0.794)",0.74,"(0.655, 0.786)",0.98,"(0.973, 0.986)",0.956,"(0.928, 0.971)",0.783,"(0.7, 0.845)"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,18,77,1765,0.39,0.506,"(0.403, 0.587)",0.992,"(0.988, 0.996)",0.605,"(0.525, 0.713)",0.75,"(0.613, 0.849)",0.978,"(0.971, 0.983)",0.955,"(0.918, 0.973)",0.633,"(0.533, 0.739)"
LEFT BUNDLE BRANCH BLOCK,20,40,1765,0.27,0.9,"(0.789, 0.99)",0.994,"(0.99, 0.996)",0.828,"(0.721, 0.903)",0.766,"(0.649, 0.886)",0.998,"(0.995, 1.0)",0.997,"(0.995, 0.998)",0.905,"(0.851, 0.976)"
T WAVE INVERSION,23,166,1765,0.12,0.566,"(0.487, 0.644)",0.742,"(0.726, 0.764)",0.279,"(0.226, 0.321)",0.185,"(0.148, 0.211)",0.943,"(0.93, 0.956)",0.711,"(0.679, 0.748)",0.205,"(0.171, 0.263)"
ATRIAL FLUTTER,32,45,1765,0.42,0.822,"(0.707, 0.908)",0.994,"(0.991, 0.998)",0.804,"(0.713, 0.875)",0.787,"(0.674, 0.898)",0.995,"(0.993, 0.998)",0.952,"(0.91, 0.996)",0.806,"(0.751, 0.875)"
SINUS ARRHYTHMIA,34,77,1765,0.32,0.844,"(0.78, 0.904)",0.983,"(0.978, 0.99)",0.765,"(0.687, 0.849)",0.699,"(0.605, 0.805)",0.993,"(0.989, 0.997)",0.99,"(0.985, 0.992)",0.754,"(0.67, 0.868)"
LEFT ANTERIOR FASCICULAR BLOCK,36,26,1765,0.41,0.5,"(0.333, 0.664)",0.995,"(0.992, 0.998)",0.553,"(0.396, 0.684)",0.619,"(0.415, 0.783)",0.993,"(0.987, 0.996)",0.979,"(0.969, 0.987)",0.447,"(0.334, 0.616)"
RIGHT AXIS DEVIATION,37,11,1765,0.1,0.545,"(0.333, 0.765)",0.979,"(0.974, 0.985)",0.226,"(0.11, 0.327)",0.143,"(0.029, 0.236)",0.997,"(0.995, 0.999)",0.969,"(0.951, 0.984)",0.12,"(0.066, 0.318)"
1ST DEGREE AV BLOCK,79,155,1765,0.15,0.877,"(0.815, 0.933)",0.971,"(0.964, 0.98)",0.807,"(0.749, 0.834)",0.747,"(0.695, 0.814)",0.988,"(0.983, 0.992)",0.977,"(0.965, 0.987)",0.861,"(0.797, 0.915)"
