Label,label_idx,n_pos,n_total,threshold,sensitivity,sensitivity_ci,specificity,specificity_ci,f1,f1_ci,ppv,ppv_ci,npv,npv_ci,auroc,auroc_ci,auprc,auprc_ci
SINUS RHYTHM,3,366,1765,0.99,0.984,"(0.969, 0.997)",0.672,"(0.648, 0.695)",0.608,"(0.574, 0.634)",0.44,"(0.424, 0.474)",0.994,"(0.987, 0.997)",0.935,"(0.922, 0.949)",0.739,"(0.682, 0.788)"
SINUS BRADYCARDIA,4,358,1765,0.85,0.994,"(0.987, 1.0)",0.984,"(0.977, 0.99)",0.967,"(0.955, 0.977)",0.942,"(0.923, 0.969)",0.999,"(0.997, 1.0)",0.996,"(0.993, 0.998)",0.969,"(0.941, 0.992)"
ATRIAL FIBRILLATION,5,114,1765,0.83,0.746,"(0.659, 0.825)",0.988,"(0.982, 0.993)",0.776,"(0.721, 0.833)",0.81,"(0.729, 0.887)",0.983,"(0.976, 0.988)",0.955,"(0.938, 0.97)",0.824,"(0.776, 0.868)"
SINUS TACHYCARDIA,6,249,1765,0.93,0.94,"(0.912, 0.973)",0.986,"(0.979, 0.991)",0.929,"(0.908, 0.946)",0.918,"(0.883, 0.96)",0.99,"(0.983, 0.995)",0.992,"(0.989, 0.995)",0.943,"(0.924, 0.969)"
LEFT AXIS DEVIATION,8,193,1765,0.63,0.86,"(0.818, 0.893)",0.966,"(0.96, 0.974)",0.804,"(0.757, 0.843)",0.755,"(0.692, 0.802)",0.983,"(0.976, 0.989)",0.978,"(0.971, 0.984)",0.784,"(0.722, 0.847)"
RIGHT BUNDLE BRANCH BLOCK,11,128,1765,0.92,0.906,"(0.856, 0.953)",0.962,"(0.955, 0.969)",0.758,"(0.714, 0.798)",0.652,"(0.594, 0.709)",0.992,"(0.988, 0.996)",0.968,"(0.953, 0.982)",0.613,"(0.572, 0.709)"
T WAVE ABNORMAL,14,433,1765,0.28,0.788,"(0.749, 0.812)",0.679,"(0.653, 0.704)",0.567,"(0.536, 0.59)",0.443,"(0.406, 0.481)",0.908,"(0.895, 0.922)",0.773,"(0.748, 0.787)",0.415,"(0.379, 0.467)"
LOW QRS VOLTAGES,15,77,1765,0.63,0.675,"(0.569, 0.789)",0.944,"(0.932, 0.957)",0.464,"(0.401, 0.529)",0.354,"(0.291, 0.415)",0.985,"(0.978, 0.99)",0.938,"(0.917, 0.954)",0.448,"(0.366, 0.551)"
PREMATURE ATRIAL CONTRACTION,16,130,1765,0.87,0.669,"(0.593, 0.764)",0.986,"(0.981, 0.991)",0.725,"(0.666, 0.769)",0.791,"(0.741, 0.844)",0.974,"(0.967, 0.98)",0.958,"(0.947, 0.976)",0.756,"(0.682, 0.825)"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,18,77,1765,0.51,0.688,"(0.573, 0.78)",0.97,"(0.963, 0.977)",0.589,"(0.529, 0.655)",0.515,"(0.415, 0.573)",0.986,"(0.981, 0.991)",0.955,"(0.929, 0.974)",0.573,"(0.46, 0.668)"
LEFT BUNDLE BRANCH BLOCK,20,40,1765,0.91,0.875,"(0.772, 0.966)",0.995,"(0.991, 0.998)",0.833,"(0.741, 0.923)",0.795,"(0.681, 0.894)",0.997,"(0.994, 0.999)",0.997,"(0.993, 0.998)",0.839,"(0.665, 0.949)"
T WAVE INVERSION,23,166,1765,0.16,0.53,"(0.448, 0.591)",0.777,"(0.762, 0.795)",0.289,"(0.241, 0.327)",0.198,"(0.165, 0.237)",0.941,"(0.93, 0.953)",0.704,"(0.667, 0.736)",0.185,"(0.154, 0.222)"
ATRIAL FLUTTER,32,45,1765,0.79,0.8,"(0.709, 0.925)",0.994,"(0.991, 0.997)",0.783,"(0.65, 0.858)",0.766,"(0.613, 0.884)",0.995,"(0.991, 0.998)",0.966,"(0.932, 0.997)",0.854,"(0.761, 0.923)"
SINUS ARRHYTHMIA,34,77,1765,0.52,0.896,"(0.839, 0.953)",0.986,"(0.982, 0.992)",0.817,"(0.746, 0.865)",0.75,"(0.664, 0.827)",0.995,"(0.992, 0.999)",0.993,"(0.989, 0.995)",0.845,"(0.778, 0.904)"
LEFT ANTERIOR FASCICULAR BLOCK,36,26,1765,0.45,0.577,"(0.347, 0.816)",0.99,"(0.984, 0.995)",0.517,"(0.35, 0.667)",0.469,"(0.283, 0.599)",0.994,"(0.99, 0.997)",0.981,"(0.973, 0.991)",0.486,"(0.308, 0.628)"
RIGHT AXIS DEVIATION,37,11,1765,0.93,0.455,"(0.131, 0.704)",0.987,"(0.981, 0.99)",0.263,"(0.077, 0.472)",0.185,"(0.057, 0.3)",0.997,"(0.994, 0.999)",0.968,"(0.946, 0.983)",0.124,"(0.073, 0.228)"
1ST DEGREE AV BLOCK,79,155,1765,0.06,0.684,"(0.606, 0.756)",0.968,"(0.961, 0.977)",0.679,"(0.619, 0.72)",0.675,"(0.621, 0.75)",0.97,"(0.961, 0.977)",0.949,"(0.927, 0.966)",0.717,"(0.648, 0.775)"
