n_labels_reported,mean_sensitivity,mean_specificity,mean_f1,mean_ppv,mean_npv,mean_auroc,mean_auprc,macro_auroc,macro_auprc,n_labels_macro_auc,micro_auroc,micro_auprc,hospital,mode,n_samples,elapsed_s
16,0.7224,0.8967,0.6055,0.5474,0.9751,0.9347,0.5794,0.9346,0.5793,16,0.9329,0.7507,PTB,zero_shot,0,42.8
16,0.6926,0.9078,0.6148,0.5728,0.9596,0.9366,0.5934,0.9368,0.5933,16,0.9513,0.7892,PTB,fine_tune,100,19.6
16,0.6667,0.9184,0.6129,0.5866,0.966,0.9346,0.5845,0.9346,0.5845,16,0.961,0.8051,PTB,fine_tune,500,37.5
16,0.6651,0.9323,0.5947,0.5633,0.9712,0.9323,0.5812,0.9323,0.5812,16,0.9678,0.8533,PTB,fine_tune,1000,50.3
16,0.7099,0.954,0.6649,0.6467,0.9792,0.9564,0.6599,0.9565,0.6599,16,0.9847,0.9149,PTB,fine_tune,3000,116.3
16,0.7169,0.9596,0.6919,0.6808,0.9818,0.9624,0.6846,0.9623,0.6846,16,0.9874,0.9248,PTB,fine_tune,6000,194.7
16,0.7429,0.9629,0.7001,0.674,0.9806,0.9631,0.6929,0.963,0.693,16,0.9878,0.9287,PTB,fine_tune,8000,222.9
16,0.7411,0.9635,0.7065,0.6919,0.9804,0.9644,0.7057,0.9643,0.7057,16,0.9881,0.9298,PTB,fine_tune,10000,265.2
16,0.4338,0.7464,0.2172,0.1718,0.9506,0.6854,0.1812,0.6854,0.1813,16,0.8871,0.6916,PTB,scratch,100,32.3
16,0.5892,0.7749,0.3296,0.2663,0.9577,0.7824,0.2809,0.7824,0.2811,16,0.9334,0.7731,PTB,scratch,500,72.1
16,0.5714,0.8778,0.4411,0.4232,0.9656,0.8418,0.4115,0.8417,0.4116,16,0.9528,0.8245,PTB,scratch,1000,107.2
16,0.6174,0.9397,0.5597,0.5385,0.9758,0.9073,0.5324,0.9072,0.5326,16,0.9713,0.8758,PTB,scratch,3000,502.4
16,0.654,0.9487,0.6206,0.6411,0.9752,0.9239,0.604,0.924,0.604,16,0.9746,0.8855,PTB,scratch,6000,476.4
16,0.6717,0.95,0.6303,0.6139,0.9807,0.9299,0.6098,0.9299,0.6098,16,0.978,0.8955,PTB,scratch,8000,599.0
16,0.6476,0.9617,0.6464,0.666,0.9781,0.9324,0.6382,0.9323,0.6383,16,0.9774,0.8991,PTB,scratch,10000,739.3
