Label,label_idx,n_pos,n_total,threshold,sensitivity,sensitivity_ci,specificity,specificity_ci,f1,f1_ci,ppv,ppv_ci,npv,npv_ci,auroc,auroc_ci,auprc,auprc_ci
SINUS RHYTHM,3,1679,2000,0.3,0.979,"(0.972, 0.985)",0.748,"(0.707, 0.776)",0.966,"(0.96, 0.971)",0.953,"(0.946, 0.961)",0.873,"(0.832, 0.906)",0.966,"(0.955, 0.974)",0.992,"(0.99, 0.994)"
SINUS BRADYCARDIA,4,67,2000,0.43,0.761,"(0.648, 0.835)",0.995,"(0.992, 0.998)",0.797,"(0.734, 0.872)",0.836,"(0.776, 0.91)",0.992,"(0.988, 0.994)",0.974,"(0.954, 0.989)",0.783,"(0.648, 0.874)"
ATRIAL FIBRILLATION,5,147,2000,0.62,0.932,"(0.894, 0.974)",0.998,"(0.997, 1.0)",0.955,"(0.929, 0.982)",0.979,"(0.957, 1.0)",0.995,"(0.991, 0.997)",0.998,"(0.995, 0.999)",0.978,"(0.956, 0.992)"
SINUS TACHYCARDIA,6,95,2000,0.83,0.895,"(0.843, 0.957)",0.996,"(0.994, 0.999)",0.909,"(0.868, 0.942)",0.924,"(0.875, 0.972)",0.995,"(0.992, 0.998)",0.995,"(0.989, 0.998)",0.917,"(0.858, 0.965)"
LEFT AXIS DEVIATION,8,499,2000,0.33,0.86,"(0.82, 0.882)",0.907,"(0.891, 0.922)",0.804,"(0.781, 0.829)",0.755,"(0.714, 0.792)",0.951,"(0.941, 0.962)",0.955,"(0.948, 0.962)",0.866,"(0.841, 0.889)"
T WAVE ABNORMAL,14,189,2000,0.37,0.614,"(0.562, 0.664)",0.928,"(0.917, 0.938)",0.533,"(0.489, 0.587)",0.472,"(0.418, 0.53)",0.958,"(0.949, 0.968)",0.903,"(0.88, 0.92)",0.526,"(0.461, 0.597)"
LOW QRS VOLTAGES,15,24,2000,0.04,0.333,"(0.144, 0.495)",0.977,"(0.97, 0.983)",0.208,"(0.123, 0.316)",0.151,"(0.084, 0.267)",0.992,"(0.988, 0.995)",0.866,"(0.784, 0.909)",0.13,"(0.066, 0.256)"
PREMATURE ATRIAL CONTRACTION,16,51,2000,0.28,0.745,"(0.596, 0.864)",0.985,"(0.98, 0.989)",0.644,"(0.491, 0.736)",0.567,"(0.461, 0.687)",0.993,"(0.99, 0.997)",0.986,"(0.979, 0.991)",0.603,"(0.501, 0.743)"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,18,106,2000,0.44,0.774,"(0.696, 0.836)",0.983,"(0.977, 0.987)",0.745,"(0.666, 0.797)",0.719,"(0.664, 0.798)",0.987,"(0.982, 0.991)",0.979,"(0.971, 0.988)",0.79,"(0.725, 0.87)"
LEFT BUNDLE BRANCH BLOCK,20,45,2000,0.36,0.867,"(0.768, 0.942)",0.997,"(0.995, 0.999)",0.876,"(0.769, 0.95)",0.886,"(0.792, 0.97)",0.997,"(0.995, 1.0)",0.986,"(0.961, 0.998)",0.913,"(0.831, 0.982)"
T WAVE INVERSION,23,34,2000,0.21,0.324,"(0.145, 0.443)",0.991,"(0.986, 0.995)",0.349,"(0.182, 0.464)",0.379,"(0.194, 0.496)",0.988,"(0.984, 0.993)",0.944,"(0.927, 0.962)",0.254,"(0.187, 0.442)"
ATRIAL FLUTTER,32,9,2000,0.64,0.667,"(0.289, 0.98)",0.999,"(0.998, 1.0)",0.75,"(0.457, 0.944)",0.857,"(0.516, 1.0)",0.998,"(0.997, 1.0)",0.973,"(0.922, 1.0)",0.723,"(0.437, 0.919)"
SINUS ARRHYTHMIA,34,73,2000,0.35,0.726,"(0.647, 0.806)",0.975,"(0.967, 0.982)",0.609,"(0.543, 0.676)",0.525,"(0.414, 0.643)",0.989,"(0.983, 0.993)",0.965,"(0.944, 0.977)",0.587,"(0.486, 0.691)"
LEFT ANTERIOR FASCICULAR BLOCK,36,164,2000,0.3,0.848,"(0.799, 0.906)",0.983,"(0.977, 0.987)",0.83,"(0.796, 0.872)",0.813,"(0.757, 0.855)",0.986,"(0.981, 0.991)",0.988,"(0.982, 0.993)",0.893,"(0.855, 0.928)"
RIGHT AXIS DEVIATION,37,38,2000,0.29,0.763,"(0.656, 0.868)",0.993,"(0.988, 0.996)",0.716,"(0.611, 0.788)",0.674,"(0.538, 0.802)",0.995,"(0.993, 0.997)",0.991,"(0.986, 0.995)",0.694,"(0.584, 0.826)"
1ST DEGREE AV BLOCK,79,89,2000,0.22,0.719,"(0.641, 0.805)",0.98,"(0.974, 0.985)",0.67,"(0.6, 0.716)",0.627,"(0.553, 0.731)",0.987,"(0.98, 0.992)",0.97,"(0.958, 0.981)",0.646,"(0.548, 0.747)"
