n_labels_reported,mean_sensitivity,mean_specificity,mean_f1,mean_ppv,mean_npv,mean_auroc,mean_auprc,macro_auroc,macro_auprc,n_labels_macro_auc,micro_auroc,micro_auprc,hospital,mode,n_samples,elapsed_s
17,0.7035,0.9544,0.5745,0.5351,0.9783,0.9458,0.5256,0.9458,0.5257,17,0.9666,0.8042,SPH,zero_shot,0,44.2
17,0.6602,0.9592,0.608,0.5861,0.9788,0.9481,0.5536,0.9481,0.5536,17,0.9702,0.8002,SPH,fine_tune,100,22.7
17,0.6502,0.9551,0.6068,0.5934,0.979,0.9416,0.5563,0.9416,0.5564,17,0.9721,0.7716,SPH,fine_tune,500,47.2
17,0.5936,0.9612,0.5682,0.5964,0.9755,0.9453,0.5415,0.9453,0.5417,17,0.9768,0.8349,SPH,fine_tune,1000,68.4
17,0.6414,0.98,0.638,0.6788,0.9816,0.9669,0.6328,0.967,0.6328,17,0.9875,0.9138,SPH,fine_tune,3000,157.4
17,0.6995,0.9829,0.6714,0.6848,0.9838,0.9729,0.6656,0.9729,0.6656,17,0.9887,0.9244,SPH,fine_tune,6000,270.6
17,0.7372,0.9802,0.6946,0.676,0.9864,0.976,0.6888,0.976,0.6888,17,0.9895,0.9287,SPH,fine_tune,8000,292.2
17,0.7009,0.9826,0.6911,0.6896,0.9856,0.9755,0.6835,0.9755,0.6834,17,0.9891,0.9274,SPH,fine_tune,10000,377.8
17,0.3314,0.7938,0.1571,0.1198,0.9608,0.6987,0.1263,0.6988,0.1263,17,0.8961,0.6298,SPH,scratch,100,38.0
17,0.4063,0.8971,0.2552,0.2297,0.9715,0.8011,0.2095,0.8011,0.2095,17,0.9362,0.7332,SPH,scratch,500,89.6
17,0.4482,0.9456,0.3618,0.3425,0.9721,0.8614,0.2935,0.8613,0.2935,17,0.9568,0.7859,SPH,scratch,1000,139.6
17,0.5524,0.9746,0.5228,0.5088,0.979,0.9266,0.476,0.9267,0.4759,17,0.9736,0.8623,SPH,scratch,3000,330.1
17,0.5987,0.9733,0.5776,0.5845,0.9815,0.9453,0.5556,0.9453,0.5557,17,0.9798,0.8866,SPH,scratch,6000,617.2
17,0.6034,0.9758,0.6041,0.6326,0.9828,0.9428,0.5809,0.9429,0.5809,17,0.9778,0.884,SPH,scratch,8000,850.4
17,0.6449,0.9745,0.6109,0.6124,0.985,0.9559,0.6005,0.9559,0.6004,17,0.9827,0.8992,SPH,scratch,10000,1086.3
