Label,label_idx,n_pos,n_total,threshold,sensitivity,sensitivity_ci,specificity,specificity_ci,f1,f1_ci,ppv,ppv_ci,npv,npv_ci,auroc,auroc_ci,auprc,auprc_ci
SINUS RHYTHM,3,1430,2000,0.13,0.959,"(0.949, 0.968)",0.84,"(0.813, 0.868)",0.948,"(0.939, 0.955)",0.938,"(0.925, 0.949)",0.89,"(0.867, 0.911)",0.969,"(0.961, 0.976)",0.985,"(0.978, 0.99)"
SINUS BRADYCARDIA,4,242,2000,0.79,0.851,"(0.814, 0.89)",0.985,"(0.981, 0.991)",0.867,"(0.829, 0.897)",0.884,"(0.841, 0.923)",0.98,"(0.974, 0.986)",0.989,"(0.984, 0.993)",0.931,"(0.916, 0.956)"
ATRIAL FIBRILLATION,5,60,2000,0.32,0.95,"(0.897, 1.0)",0.998,"(0.996, 1.0)",0.95,"(0.918, 0.984)",0.95,"(0.885, 1.0)",0.998,"(0.996, 1.0)",1.0,"(0.999, 1.0)",0.989,"(0.976, 0.997)"
SINUS TACHYCARDIA,6,73,2000,0.51,0.822,"(0.733, 0.902)",0.995,"(0.992, 0.998)",0.845,"(0.765, 0.907)",0.87,"(0.79, 0.928)",0.993,"(0.99, 0.996)",0.978,"(0.954, 0.997)",0.915,"(0.876, 0.962)"
LEFT AXIS DEVIATION,8,13,2000,0.19,0.462,"(0.228, 0.789)",0.995,"(0.993, 0.998)",0.429,"(0.152, 0.663)",0.4,"(0.172, 0.708)",0.996,"(0.994, 0.998)",0.978,"(0.959, 0.992)",0.311,"(0.137, 0.59)"
RIGHT BUNDLE BRANCH BLOCK,11,74,2000,0.43,0.959,"(0.935, 1.0)",0.997,"(0.995, 0.999)",0.947,"(0.919, 0.979)",0.934,"(0.879, 0.974)",0.998,"(0.997, 1.0)",0.997,"(0.993, 1.0)",0.977,"(0.953, 0.997)"
T WAVE ABNORMAL,14,188,2000,0.26,0.713,"(0.659, 0.801)",0.976,"(0.972, 0.981)",0.734,"(0.693, 0.779)",0.757,"(0.704, 0.816)",0.97,"(0.959, 0.978)",0.968,"(0.953, 0.976)",0.798,"(0.759, 0.839)"
LOW QRS VOLTAGES,15,33,2000,0.16,0.576,"(0.425, 0.732)",0.985,"(0.978, 0.99)",0.463,"(0.339, 0.577)",0.388,"(0.264, 0.543)",0.993,"(0.989, 0.997)",0.963,"(0.948, 0.982)",0.405,"(0.273, 0.539)"
PREMATURE ATRIAL CONTRACTION,16,44,2000,0.31,0.818,"(0.715, 0.948)",0.992,"(0.988, 0.995)",0.758,"(0.649, 0.852)",0.706,"(0.614, 0.802)",0.996,"(0.992, 0.998)",0.995,"(0.992, 0.997)",0.828,"(0.727, 0.911)"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,18,102,2000,0.19,0.529,"(0.45, 0.617)",0.982,"(0.975, 0.986)",0.565,"(0.488, 0.635)",0.607,"(0.526, 0.687)",0.975,"(0.967, 0.982)",0.929,"(0.907, 0.949)",0.613,"(0.533, 0.697)"
LEFT BUNDLE BRANCH BLOCK,20,6,2000,0.03,0.833,"(0.5, 1.0)",1.0,"(1.0, 1.0)",0.909,"(0.667, 1.0)",1.0,"(1.0, 1.0)",0.999,"(0.998, 1.0)",0.991,"(0.978, 1.0)",0.842,"(0.421, 1.0)"
T WAVE INVERSION,23,13,2000,0.13,0.462,"(0.222, 0.724)",0.99,"(0.987, 0.994)",0.316,"(0.131, 0.51)",0.24,"(0.058, 0.413)",0.996,"(0.995, 0.999)",0.969,"(0.943, 0.987)",0.218,"(0.097, 0.491)"
ATRIAL FLUTTER,32,9,2000,0.32,0.667,"(0.406, 1.0)",0.998,"(0.996, 1.0)",0.632,"(0.333, 0.867)",0.6,"(0.366, 0.871)",0.998,"(0.997, 1.0)",0.997,"(0.994, 0.999)",0.599,"(0.346, 0.851)"
SINUS ARRHYTHMIA,34,120,2000,0.73,0.558,"(0.459, 0.636)",0.981,"(0.978, 0.988)",0.604,"(0.536, 0.669)",0.657,"(0.575, 0.735)",0.972,"(0.964, 0.983)",0.936,"(0.91, 0.957)",0.632,"(0.547, 0.724)"
LEFT ANTERIOR FASCICULAR BLOCK,36,13,2000,0.2,0.692,"(0.424, 0.852)",0.994,"(0.99, 0.997)",0.545,"(0.353, 0.758)",0.45,"(0.265, 0.64)",0.998,"(0.996, 1.0)",0.991,"(0.977, 0.996)",0.497,"(0.259, 0.796)"
RIGHT AXIS DEVIATION,37,20,2000,0.11,0.65,"(0.506, 0.854)",0.993,"(0.99, 0.997)",0.553,"(0.313, 0.707)",0.481,"(0.301, 0.661)",0.996,"(0.995, 0.999)",0.974,"(0.95, 0.992)",0.333,"(0.214, 0.534)"
1ST DEGREE AV BLOCK,79,21,2000,0.41,0.571,"(0.383, 0.8)",0.999,"(0.998, 1.0)",0.686,"(0.522, 0.816)",0.857,"(0.671, 1.0)",0.995,"(0.992, 0.997)",0.981,"(0.962, 0.997)",0.635,"(0.429, 0.851)"
