Label,label_idx,n_pos,n_total,threshold,sensitivity,sensitivity_ci,specificity,specificity_ci,f1,f1_ci,ppv,ppv_ci,npv,npv_ci,auroc,auroc_ci,auprc,auprc_ci
SINUS RHYTHM,3,1430,2000,0.92,0.945,"(0.93, 0.956)",0.56,"(0.518, 0.588)",0.892,"(0.878, 0.906)",0.843,"(0.828, 0.869)",0.804,"(0.769, 0.836)",0.858,"(0.837, 0.875)",0.914,"(0.892, 0.932)"
SINUS BRADYCARDIA,4,242,2000,0.24,0.723,"(0.671, 0.769)",0.977,"(0.971, 0.984)",0.766,"(0.712, 0.804)",0.814,"(0.765, 0.866)",0.962,"(0.954, 0.968)",0.924,"(0.899, 0.942)",0.756,"(0.707, 0.813)"
ATRIAL FIBRILLATION,5,60,2000,0.6,0.983,"(0.954, 1.0)",0.998,"(0.996, 1.0)",0.959,"(0.931, 0.985)",0.937,"(0.853, 0.982)",0.999,"(0.998, 1.0)",1.0,"(0.999, 1.0)",0.993,"(0.982, 0.999)"
SINUS TACHYCARDIA,6,73,2000,0.95,0.808,"(0.724, 0.874)",0.958,"(0.95, 0.965)",0.554,"(0.482, 0.616)",0.421,"(0.348, 0.508)",0.992,"(0.988, 0.996)",0.96,"(0.938, 0.977)",0.461,"(0.369, 0.57)"
LEFT AXIS DEVIATION,8,13,2000,0.63,0.846,"(0.509, 1.0)",0.969,"(0.962, 0.977)",0.259,"(0.147, 0.354)",0.153,"(0.07, 0.229)",0.999,"(0.998, 1.0)",0.974,"(0.958, 0.988)",0.152,"(0.102, 0.299)"
RIGHT BUNDLE BRANCH BLOCK,11,74,2000,0.96,0.892,"(0.803, 0.97)",0.994,"(0.991, 0.997)",0.874,"(0.832, 0.931)",0.857,"(0.784, 0.932)",0.996,"(0.993, 0.998)",0.994,"(0.99, 0.997)",0.821,"(0.741, 0.925)"
T WAVE ABNORMAL,14,188,2000,0.49,0.638,"(0.567, 0.693)",0.959,"(0.95, 0.965)",0.627,"(0.562, 0.679)",0.615,"(0.55, 0.674)",0.962,"(0.954, 0.973)",0.94,"(0.925, 0.951)",0.656,"(0.598, 0.702)"
LOW QRS VOLTAGES,15,33,2000,0.5,0.576,"(0.381, 0.725)",0.975,"(0.969, 0.979)",0.373,"(0.289, 0.483)",0.275,"(0.168, 0.393)",0.993,"(0.989, 0.996)",0.935,"(0.887, 0.96)",0.301,"(0.146, 0.502)"
PREMATURE ATRIAL CONTRACTION,16,44,2000,0.68,0.75,"(0.624, 0.863)",0.996,"(0.994, 0.999)",0.786,"(0.711, 0.874)",0.825,"(0.715, 0.927)",0.994,"(0.991, 0.997)",0.99,"(0.981, 0.996)",0.778,"(0.674, 0.899)"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,18,102,2000,0.22,0.461,"(0.355, 0.538)",0.969,"(0.963, 0.976)",0.454,"(0.361, 0.53)",0.448,"(0.372, 0.563)",0.971,"(0.962, 0.978)",0.861,"(0.828, 0.9)",0.343,"(0.28, 0.447)"
LEFT BUNDLE BRANCH BLOCK,20,6,2000,0.36,0.667,"(0.204, 1.0)",1.0,"(1.0, 1.0)",0.8,"(0.423, 1.0)",1.0,"(1.0, 1.0)",0.999,"(0.998, 1.0)",0.982,"(0.957, 1.0)",0.715,"(0.467, 1.0)"
T WAVE INVERSION,23,13,2000,0.24,0.462,"(0.2, 0.742)",0.966,"(0.958, 0.971)",0.14,"(0.058, 0.233)",0.082,"(0.017, 0.155)",0.996,"(0.994, 0.998)",0.945,"(0.907, 0.966)",0.087,"(0.05, 0.202)"
ATRIAL FLUTTER,32,9,2000,0.75,0.667,"(0.366, 1.0)",0.997,"(0.994, 0.999)",0.571,"(0.258, 0.81)",0.5,"(0.185, 0.762)",0.998,"(0.996, 1.0)",0.992,"(0.983, 0.997)",0.547,"(0.221, 0.807)"
SINUS ARRHYTHMIA,34,120,2000,0.16,0.65,"(0.564, 0.719)",0.955,"(0.944, 0.964)",0.553,"(0.502, 0.608)",0.481,"(0.4, 0.554)",0.977,"(0.971, 0.983)",0.929,"(0.902, 0.949)",0.593,"(0.505, 0.677)"
LEFT ANTERIOR FASCICULAR BLOCK,36,13,2000,0.16,0.615,"(0.465, 0.862)",0.992,"(0.989, 0.995)",0.444,"(0.202, 0.675)",0.348,"(0.156, 0.482)",0.997,"(0.996, 0.999)",0.984,"(0.967, 0.995)",0.385,"(0.188, 0.664)"
RIGHT AXIS DEVIATION,37,20,2000,0.93,0.8,"(0.657, 0.944)",0.982,"(0.976, 0.99)",0.444,"(0.298, 0.609)",0.308,"(0.174, 0.418)",0.998,"(0.996, 1.0)",0.951,"(0.866, 0.992)",0.245,"(0.129, 0.435)"
1ST DEGREE AV BLOCK,79,21,2000,0.05,0.476,"(0.274, 0.683)",0.978,"(0.972, 0.985)",0.27,"(0.128, 0.424)",0.189,"(0.079, 0.284)",0.994,"(0.99, 0.997)",0.859,"(0.763, 0.932)",0.189,"(0.071, 0.355)"
