experiment,model_size,n_train_requested,n_train_actual,n_val,n_test,total_params,trainable_params,best_val_AUROC,test_macro_AUROC
large_full,large,full,7674,879,2132,30819014,30819014,0.8518,0.8516
large_3000,large,3000,3000,879,2132,30819014,30819014,0.8381,0.8528
large_1000,large,1000,1000,879,2132,30819014,30819014,0.778,0.8035
large_500,large,500,500,879,2132,30819014,30819014,0.7431,0.7762
large_100,large,100,100,879,2132,30819014,30819014,0.7096,0.6977
medium_full,medium,full,7674,879,2132,17388906,17388906,0.8593,0.8602
medium_3000,medium,3000,3000,879,2132,17388906,17388906,0.8319,0.8433
medium_1000,medium,1000,1000,879,2132,17388906,17388906,0.7714,0.7918
medium_500,medium,500,500,879,2132,17388906,17388906,0.7505,0.782
medium_100,medium,100,100,879,2132,17388906,17388906,0.6756,0.688
small_full,small,full,7674,879,2132,5765638,5765638,0.8584,0.8638
small_3000,small,3000,3000,879,2132,5765638,5765638,0.8312,0.8455
small_1000,small,1000,1000,879,2132,5765638,5765638,0.7637,0.8013
small_500,small,500,500,879,2132,5765638,5765638,0.7573,0.7784
small_100,small,100,100,879,2132,5765638,5765638,0.679,0.6968
