experiment,model_size,n_train_requested,n_train_actual,n_val,n_test,total_params,trainable_params,best_val_AUROC,test_macro_AUROC
large_full,large,full,6690,766,1941,8901398,8901398,0.896,0.8416
large_3000,large,3000,3000,766,1941,8901398,8901398,0.8662,0.8194
large_1000,large,1000,1000,766,1941,8901398,8901398,0.7993,0.7352
large_500,large,500,500,766,1941,8901398,8901398,0.7268,0.6638
medium_full,medium,full,6690,766,1941,2249942,2249942,0.8978,0.8739
medium_3000,medium,3000,3000,766,1941,2249942,2249942,0.876,0.8239
medium_1000,medium,1000,1000,766,1941,2249942,2249942,0.81,0.7212
medium_500,medium,500,500,766,1941,2249942,2249942,0.6449,0.6144
small_full,small,full,6690,766,1941,574838,574838,0.9086,0.8344
small_3000,small,3000,3000,766,1941,574838,574838,0.861,0.7977
small_1000,small,1000,1000,766,1941,574838,574838,0.7776,0.7214
small_500,small,500,500,766,1941,574838,574838,0.6528,0.6226
