Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.955,"(np.float64(0.95), np.float64(0.958))",0.002,"(np.float64(0.002), np.float64(0.008))"
LEFT AXIS DEVIATION,54,9343,0.091,0.407,"(np.float64(0.284), np.float64(0.552))",0.969,"(np.float64(0.966), np.float64(0.973))",0.12,"(np.float64(0.078), np.float64(0.153))",0.071,"(np.float64(0.044), np.float64(0.097))",0.996,"(np.float64(0.995), np.float64(0.998))",0.935,"(np.float64(0.912), np.float64(0.951))",0.057,"(np.float64(0.041), np.float64(0.101))"
VENTRICULAR TACHYCARDIA,81,9316,0.051,0.42,"(np.float64(0.311), np.float64(0.536))",0.986,"(np.float64(0.984), np.float64(0.988))",0.28,"(np.float64(0.213), np.float64(0.339))",0.21,"(np.float64(0.135), np.float64(0.267))",0.995,"(np.float64(0.994), np.float64(0.997))",0.928,"(np.float64(0.904), np.float64(0.955))",0.23,"(np.float64(0.163), np.float64(0.318))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.192,0.609,"(np.float64(0.576), np.float64(0.643))",0.947,"(np.float64(0.941), np.float64(0.951))",0.535,"(np.float64(0.508), np.float64(0.56))",0.476,"(np.float64(0.448), np.float64(0.505))",0.968,"(np.float64(0.964), np.float64(0.972))",0.919,"(np.float64(0.907), np.float64(0.927))",0.527,"(np.float64(0.485), np.float64(0.57))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.081,0.178,"(np.float64(0.067), np.float64(0.306))",0.992,"(np.float64(0.99), np.float64(0.994))",0.123,"(np.float64(0.059), np.float64(0.203))",0.094,"(np.float64(0.035), np.float64(0.146))",0.996,"(np.float64(0.995), np.float64(0.997))",0.915,"(np.float64(0.892), np.float64(0.948))",0.05,"(np.float64(0.027), np.float64(0.083))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.162,0.376,"(np.float64(0.327), np.float64(0.438))",0.973,"(np.float64(0.97), np.float64(0.977))",0.338,"(np.float64(0.298), np.float64(0.384))",0.307,"(np.float64(0.259), np.float64(0.346))",0.98,"(np.float64(0.978), np.float64(0.982))",0.914,"(np.float64(0.903), np.float64(0.925))",0.245,"(np.float64(0.216), np.float64(0.291))"
ANTEROSEPTAL INFARCT,14,9383,0.03,0.214,"(np.float64(0.028), np.float64(0.441))",0.983,"(np.float64(0.981), np.float64(0.986))",0.035,"(np.float64(0.0), np.float64(0.086))",0.019,"(np.float64(0.0), np.float64(0.045))",0.999,"(np.float64(0.998), np.float64(0.999))",0.912,"(np.float64(0.847), np.float64(0.958))",0.014,"(np.float64(0.006), np.float64(0.03))"
ATRIAL FLUTTER,31,9366,0.061,0.226,"(np.float64(0.098), np.float64(0.373))",0.979,"(np.float64(0.977), np.float64(0.982))",0.059,"(np.float64(0.025), np.float64(0.106))",0.034,"(np.float64(0.017), np.float64(0.069))",0.997,"(np.float64(0.996), np.float64(0.998))",0.907,"(np.float64(0.872), np.float64(0.939))",0.026,"(np.float64(0.016), np.float64(0.045))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.02,0.554,"(np.float64(0.502), np.float64(0.597))",0.932,"(np.float64(0.927), np.float64(0.936))",0.319,"(np.float64(0.291), np.float64(0.353))",0.224,"(np.float64(0.192), np.float64(0.257))",0.983,"(np.float64(0.98), np.float64(0.986))",0.907,"(np.float64(0.895), np.float64(0.918))",0.222,"(np.float64(0.196), np.float64(0.257))"
RIGHT AXIS DEVIATION,335,9062,0.081,0.636,"(np.float64(0.582), np.float64(0.692))",0.907,"(np.float64(0.902), np.float64(0.914))",0.306,"(np.float64(0.28), np.float64(0.334))",0.202,"(np.float64(0.176), np.float64(0.221))",0.985,"(np.float64(0.983), np.float64(0.988))",0.897,"(np.float64(0.886), np.float64(0.909))",0.184,"(np.float64(0.159), np.float64(0.216))"
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.152,0.158,"(np.float64(0.0), np.float64(0.294))",0.999,"(np.float64(0.998), np.float64(0.999))",0.167,"(np.float64(0.0), np.float64(0.372))",0.176,"(np.float64(0.0), np.float64(0.361))",0.998,"(np.float64(0.998), np.float64(0.999))",0.893,"(np.float64(0.841), np.float64(0.943))",0.042,"(np.float64(0.011), np.float64(0.156))"
SINUS BRADYCARDIA,935,8462,0.232,0.555,"(np.float64(0.522), np.float64(0.584))",0.936,"(np.float64(0.931), np.float64(0.941))",0.52,"(np.float64(0.487), np.float64(0.545))",0.488,"(np.float64(0.463), np.float64(0.524))",0.95,"(np.float64(0.946), np.float64(0.955))",0.889,"(np.float64(0.877), np.float64(0.899))",0.488,"(np.float64(0.461), np.float64(0.532))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.061,0.111,"(np.float64(0.0), np.float64(0.303))",0.995,"(np.float64(0.993), np.float64(0.996))",0.056,"(np.float64(0.0), np.float64(0.129))",0.038,"(np.float64(0.0), np.float64(0.095))",0.998,"(np.float64(0.997), np.float64(0.999))",0.864,"(np.float64(0.784), np.float64(0.938))",0.022,"(np.float64(0.007), np.float64(0.052))"
SINUS TACHYCARDIA,2210,7187,0.232,0.719,"(np.float64(0.698), np.float64(0.736))",0.73,"(np.float64(0.718), np.float64(0.739))",0.554,"(np.float64(0.538), np.float64(0.571))",0.45,"(np.float64(0.435), np.float64(0.464))",0.894,"(np.float64(0.887), np.float64(0.902))",0.8,"(np.float64(0.789), np.float64(0.808))",0.504,"(np.float64(0.483), np.float64(0.528))"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,336,9061,0.091,0.298,"(np.float64(0.255), np.float64(0.347))",0.942,"(np.float64(0.937), np.float64(0.947))",0.208,"(np.float64(0.18), np.float64(0.243))",0.16,"(np.float64(0.13), np.float64(0.186))",0.973,"(np.float64(0.969), np.float64(0.976))",0.79,"(np.float64(0.769), np.float64(0.819))",0.116,"(np.float64(0.095), np.float64(0.145))"
LEFT VENTRICULAR HYPERTROPHY,348,9049,0.081,0.374,"(np.float64(0.325), np.float64(0.428))",0.913,"(np.float64(0.907), np.float64(0.919))",0.206,"(np.float64(0.169), np.float64(0.232))",0.142,"(np.float64(0.12), np.float64(0.166))",0.974,"(np.float64(0.971), np.float64(0.978))",0.78,"(np.float64(0.755), np.float64(0.803))",0.154,"(np.float64(0.126), np.float64(0.182))"
RIGHT ATRIAL ENLARGEMENT,201,9196,0.02,0.657,"(np.float64(0.6), np.float64(0.715))",0.752,"(np.float64(0.743), np.float64(0.758))",0.101,"(np.float64(0.087), np.float64(0.115))",0.055,"(np.float64(0.047), np.float64(0.064))",0.99,"(np.float64(0.988), np.float64(0.992))",0.774,"(np.float64(0.743), np.float64(0.8))",0.056,"(np.float64(0.046), np.float64(0.07))"
ANTERIOR INFARCT,5,9392,0.505,0.2,"(np.float64(0.0), np.float64(0.692))",0.999,"(np.float64(0.999), np.float64(1.0))",0.167,"(np.float64(0.0), np.float64(0.489))",0.143,"(np.float64(0.0), np.float64(0.415))",1.0,"(np.float64(0.999), np.float64(1.0))",0.743,"(np.float64(0.34), np.float64(0.964))",0.03,"(np.float64(0.001), np.float64(0.182))"
LOW VOLTAGE QRS,277,9120,0.081,0.188,"(np.float64(0.138), np.float64(0.229))",0.961,"(np.float64(0.958), np.float64(0.965))",0.153,"(np.float64(0.121), np.float64(0.193))",0.129,"(np.float64(0.105), np.float64(0.161))",0.975,"(np.float64(0.972), np.float64(0.977))",0.743,"(np.float64(0.72), np.float64(0.771))",0.092,"(np.float64(0.071), np.float64(0.129))"
WITH VENTRICULAR ESCAPE COMPLEXES,32,9365,0.061,0.031,"(np.float64(0.0), np.float64(0.118))",0.999,"(np.float64(0.999), np.float64(1.0))",0.05,"(np.float64(0.0), np.float64(0.172))",0.125,"(np.float64(0.0), np.float64(0.37))",0.997,"(np.float64(0.995), np.float64(0.998))",0.726,"(np.float64(0.639), np.float64(0.817))",0.014,"(np.float64(0.005), np.float64(0.047))"
NORMAL ECG,1759,7638,0.192,0.678,"(np.float64(0.653), np.float64(0.697))",0.653,"(np.float64(0.645), np.float64(0.662))",0.425,"(np.float64(0.414), np.float64(0.442))",0.31,"(np.float64(0.296), np.float64(0.325))",0.898,"(np.float64(0.891), np.float64(0.907))",0.72,"(np.float64(0.708), np.float64(0.731))",0.332,"(np.float64(0.317), np.float64(0.353))"
LEFT ATRIAL ENLARGEMENT,184,9213,0.061,0.12,"(np.float64(0.074), np.float64(0.173))",0.952,"(np.float64(0.947), np.float64(0.956))",0.068,"(np.float64(0.04), np.float64(0.096))",0.047,"(np.float64(0.027), np.float64(0.067))",0.982,"(np.float64(0.98), np.float64(0.985))",0.696,"(np.float64(0.665), np.float64(0.729))",0.039,"(np.float64(0.031), np.float64(0.059))"
