Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
SINUS BRADYCARDIA,935,8462,0.394,0.828,"(np.float64(0.806), np.float64(0.849))",0.986,"(np.float64(0.983), np.float64(0.988))",0.845,"(np.float64(0.825), np.float64(0.864))",0.864,"(np.float64(0.843), np.float64(0.885))",0.981,"(np.float64(0.978), np.float64(0.984))",0.985,"(np.float64(0.982), np.float64(0.989))",0.899,"(np.float64(0.883), np.float64(0.915))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.424,0.672,"(np.float64(0.62), np.float64(0.727))",0.991,"(np.float64(0.99), np.float64(0.993))",0.693,"(np.float64(0.657), np.float64(0.731))",0.714,"(np.float64(0.665), np.float64(0.756))",0.99,"(np.float64(0.988), np.float64(0.991))",0.984,"(np.float64(0.979), np.float64(0.987))",0.71,"(np.float64(0.665), np.float64(0.76))"
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.202,0.579,"(np.float64(0.385), np.float64(0.815))",1.0,"(np.float64(0.999), np.float64(1.0))",0.688,"(np.float64(0.52), np.float64(0.823))",0.846,"(np.float64(0.559), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.979,"(np.float64(0.948), np.float64(0.998))",0.632,"(np.float64(0.397), np.float64(0.806))"
VENTRICULAR TACHYCARDIA,81,9316,0.333,0.58,"(np.float64(0.47), np.float64(0.69))",0.997,"(np.float64(0.996), np.float64(0.998))",0.614,"(np.float64(0.533), np.float64(0.706))",0.653,"(np.float64(0.541), np.float64(0.746))",0.996,"(np.float64(0.995), np.float64(0.997))",0.978,"(np.float64(0.962), np.float64(0.99))",0.615,"(np.float64(0.511), np.float64(0.745))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.111,0.267,"(np.float64(0.165), np.float64(0.403))",0.996,"(np.float64(0.995), np.float64(0.997))",0.25,"(np.float64(0.127), np.float64(0.353))",0.235,"(np.float64(0.117), np.float64(0.361))",0.996,"(np.float64(0.995), np.float64(0.997))",0.977,"(np.float64(0.969), np.float64(0.984))",0.233,"(np.float64(0.139), np.float64(0.366))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.283,0.672,"(np.float64(0.611), np.float64(0.713))",0.984,"(np.float64(0.98), np.float64(0.986))",0.63,"(np.float64(0.58), np.float64(0.672))",0.593,"(np.float64(0.55), np.float64(0.645))",0.988,"(np.float64(0.986), np.float64(0.991))",0.974,"(np.float64(0.969), np.float64(0.979))",0.635,"(np.float64(0.58), np.float64(0.684))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.967,"(np.float64(0.963), np.float64(0.97))",0.003,"(np.float64(0.003), np.float64(0.008))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.333,0.62,"(np.float64(0.593), np.float64(0.65))",0.977,"(np.float64(0.974), np.float64(0.98))",0.649,"(np.float64(0.618), np.float64(0.68))",0.68,"(np.float64(0.638), np.float64(0.717))",0.97,"(np.float64(0.967), np.float64(0.974))",0.958,"(np.float64(0.95), np.float64(0.962))",0.682,"(np.float64(0.646), np.float64(0.71))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.03,0.5,"(np.float64(0.267), np.float64(0.757))",0.997,"(np.float64(0.996), np.float64(0.998))",0.316,"(np.float64(0.174), np.float64(0.509))",0.231,"(np.float64(0.11), np.float64(0.369))",0.999,"(np.float64(0.998), np.float64(1.0))",0.957,"(np.float64(0.891), np.float64(0.99))",0.255,"(np.float64(0.092), np.float64(0.465))"
ATRIAL FLUTTER,31,9366,0.091,0.29,"(np.float64(0.136), np.float64(0.4))",0.998,"(np.float64(0.997), np.float64(0.999))",0.286,"(np.float64(0.129), np.float64(0.437))",0.281,"(np.float64(0.126), np.float64(0.433))",0.998,"(np.float64(0.997), np.float64(0.999))",0.953,"(np.float64(0.924), np.float64(0.975))",0.223,"(np.float64(0.102), np.float64(0.391))"
SINUS TACHYCARDIA,2210,7187,0.354,0.819,"(np.float64(0.805), np.float64(0.83))",0.91,"(np.float64(0.904), np.float64(0.917))",0.775,"(np.float64(0.76), np.float64(0.787))",0.736,"(np.float64(0.717), np.float64(0.753))",0.942,"(np.float64(0.936), np.float64(0.948))",0.949,"(np.float64(0.943), np.float64(0.953))",0.848,"(np.float64(0.837), np.float64(0.86))"
ANTEROSEPTAL INFARCT,14,9383,0.02,0.214,"(np.float64(0.0), np.float64(0.5))",0.993,"(np.float64(0.992), np.float64(0.995))",0.075,"(np.float64(0.022), np.float64(0.154))",0.045,"(np.float64(0.013), np.float64(0.097))",0.999,"(np.float64(0.998), np.float64(1.0))",0.946,"(np.float64(0.907), np.float64(0.975))",0.03,"(np.float64(0.013), np.float64(0.087))"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,336,9061,0.152,0.652,"(np.float64(0.607), np.float64(0.694))",0.959,"(np.float64(0.956), np.float64(0.963))",0.475,"(np.float64(0.442), np.float64(0.52))",0.374,"(np.float64(0.329), np.float64(0.411))",0.987,"(np.float64(0.985), np.float64(0.989))",0.943,"(np.float64(0.931), np.float64(0.952))",0.438,"(np.float64(0.395), np.float64(0.489))"
RIGHT AXIS DEVIATION,335,9062,0.152,0.528,"(np.float64(0.479), np.float64(0.58))",0.972,"(np.float64(0.969), np.float64(0.975))",0.464,"(np.float64(0.425), np.float64(0.512))",0.414,"(np.float64(0.367), np.float64(0.458))",0.982,"(np.float64(0.979), np.float64(0.985))",0.943,"(np.float64(0.934), np.float64(0.953))",0.437,"(np.float64(0.38), np.float64(0.497))"
