Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.172,0.789,"(np.float64(0.612), np.float64(0.952))",1.0,"(np.float64(1.0), np.float64(1.0))",0.857,"(np.float64(0.745), np.float64(0.968))",0.938,"(np.float64(0.817), np.float64(1.0))",1.0,"(np.float64(0.999), np.float64(1.0))",0.996,"(np.float64(0.992), np.float64(1.0))",0.833,"(np.float64(0.633), np.float64(0.962))"
VENTRICULAR TACHYCARDIA,81,9316,0.192,0.679,"(np.float64(0.584), np.float64(0.776))",0.997,"(np.float64(0.996), np.float64(0.998))",0.675,"(np.float64(0.567), np.float64(0.74))",0.671,"(np.float64(0.561), np.float64(0.75))",0.997,"(np.float64(0.996), np.float64(0.998))",0.991,"(np.float64(0.983), np.float64(0.996))",0.708,"(np.float64(0.599), np.float64(0.792))"
LATERAL INFARCT,3,9394,0.051,0.333,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(1.0), np.float64(1.0))",0.4,"(np.float64(0.0), np.float64(1.0))",0.5,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(0.999), np.float64(1.0))",0.987,"(np.float64(0.961), np.float64(1.0))",0.206,"(np.float64(0.003), np.float64(0.752))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.987,"(np.float64(0.985), np.float64(0.989))",0.008,"(np.float64(0.007), np.float64(0.025))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.242,0.768,"(np.float64(0.722), np.float64(0.808))",0.983,"(np.float64(0.98), np.float64(0.985))",0.685,"(np.float64(0.643), np.float64(0.722))",0.618,"(np.float64(0.587), np.float64(0.665))",0.992,"(np.float64(0.99), np.float64(0.993))",0.985,"(np.float64(0.982), np.float64(0.988))",0.74,"(np.float64(0.693), np.float64(0.778))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.232,0.776,"(np.float64(0.727), np.float64(0.827))",0.99,"(np.float64(0.988), np.float64(0.991))",0.739,"(np.float64(0.692), np.float64(0.78))",0.705,"(np.float64(0.659), np.float64(0.761))",0.993,"(np.float64(0.991), np.float64(0.994))",0.985,"(np.float64(0.979), np.float64(0.989))",0.759,"(np.float64(0.707), np.float64(0.808))"
SINUS BRADYCARDIA,935,8462,0.455,0.843,"(np.float64(0.819), np.float64(0.862))",0.98,"(np.float64(0.976), np.float64(0.982))",0.831,"(np.float64(0.813), np.float64(0.846))",0.82,"(np.float64(0.794), np.float64(0.838))",0.983,"(np.float64(0.98), np.float64(0.985))",0.982,"(np.float64(0.978), np.float64(0.985))",0.887,"(np.float64(0.867), np.float64(0.903))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.465,0.333,"(np.float64(0.233), np.float64(0.473))",0.999,"(np.float64(0.999), np.float64(1.0))",0.455,"(np.float64(0.313), np.float64(0.587))",0.714,"(np.float64(0.5), np.float64(0.911))",0.997,"(np.float64(0.995), np.float64(0.998))",0.976,"(np.float64(0.957), np.float64(0.987))",0.427,"(np.float64(0.299), np.float64(0.563))"
LEFT AXIS DEVIATION,54,9343,0.131,0.519,"(np.float64(0.392), np.float64(0.664))",0.992,"(np.float64(0.989), np.float64(0.994))",0.352,"(np.float64(0.279), np.float64(0.457))",0.267,"(np.float64(0.195), np.float64(0.339))",0.997,"(np.float64(0.996), np.float64(0.998))",0.973,"(np.float64(0.961), np.float64(0.983))",0.232,"(np.float64(0.162), np.float64(0.367))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.384,0.444,"(np.float64(0.201), np.float64(0.634))",1.0,"(np.float64(1.0), np.float64(1.0))",0.615,"(np.float64(0.417), np.float64(0.843))",1.0,"(np.float64(1.0), np.float64(1.0))",0.999,"(np.float64(0.998), np.float64(0.999))",0.97,"(np.float64(0.914), np.float64(0.999))",0.602,"(np.float64(0.409), np.float64(0.808))"
