Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
PREMATURE ATRIAL COMPLEXES,1,9396,0.162,1.0,"(np.float64(0.0), np.float64(1.0))",0.998,"(np.float64(0.997), np.float64(0.999))",0.105,"(np.float64(0.0), np.float64(0.28))",0.056,"(np.float64(0.0), np.float64(0.172))",1.0,"(np.float64(1.0), np.float64(1.0))",0.998,"(np.float64(0.998), np.float64(0.999))",0.062,"(np.float64(0.045), np.float64(0.219))"
PULMONARY DISEASE PATTERN,3,9394,0.01,0.667,"(np.float64(0.0), np.float64(1.0))",0.846,"(np.float64(0.838), np.float64(0.853))",0.003,"(np.float64(0.0), np.float64(0.006))",0.001,"(np.float64(0.0), np.float64(0.003))",1.0,"(np.float64(1.0), np.float64(1.0))",0.828,"(np.float64(0.69), np.float64(0.914))",0.001,"(np.float64(0.0), np.float64(0.004))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.081,0.427,"(np.float64(0.395), np.float64(0.462))",0.88,"(np.float64(0.875), np.float64(0.885))",0.291,"(np.float64(0.261), np.float64(0.313))",0.221,"(np.float64(0.204), np.float64(0.237))",0.951,"(np.float64(0.946), np.float64(0.956))",0.761,"(np.float64(0.743), np.float64(0.777))",0.202,"(np.float64(0.182), np.float64(0.225))"
LATERAL INFARCT,3,9394,0.03,0.333,"(np.float64(0.0), np.float64(1.0))",0.892,"(np.float64(0.887), np.float64(0.897))",0.002,"(np.float64(0.0), np.float64(0.008))",0.001,"(np.float64(0.0), np.float64(0.003))",1.0,"(np.float64(0.999), np.float64(1.0))",0.74,"(np.float64(0.643), np.float64(0.914))",0.001,"(np.float64(0.0), np.float64(0.004))"
LOW VOLTAGE QRS,277,9120,0.121,0.141,"(np.float64(0.095), np.float64(0.182))",0.971,"(np.float64(0.968), np.float64(0.975))",0.134,"(np.float64(0.097), np.float64(0.177))",0.127,"(np.float64(0.098), np.float64(0.165))",0.974,"(np.float64(0.971), np.float64(0.976))",0.732,"(np.float64(0.705), np.float64(0.756))",0.076,"(np.float64(0.066), np.float64(0.098))"
LEFT VENTRICULAR HYPERTROPHY,348,9049,0.162,0.19,"(np.float64(0.153), np.float64(0.225))",0.97,"(np.float64(0.967), np.float64(0.974))",0.193,"(np.float64(0.154), np.float64(0.233))",0.197,"(np.float64(0.163), np.float64(0.233))",0.969,"(np.float64(0.966), np.float64(0.972))",0.706,"(np.float64(0.677), np.float64(0.734))",0.119,"(np.float64(0.095), np.float64(0.148))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.667,0.252,"(np.float64(0.207), np.float64(0.303))",0.95,"(np.float64(0.947), np.float64(0.954))",0.179,"(np.float64(0.137), np.float64(0.211))",0.139,"(np.float64(0.105), np.float64(0.166))",0.976,"(np.float64(0.972), np.float64(0.979))",0.69,"(np.float64(0.664), np.float64(0.723))",0.086,"(np.float64(0.069), np.float64(0.109))"
WITH VARIABLE AV BLOCK,67,9330,0.01,0.134,"(np.float64(0.067), np.float64(0.226))",0.934,"(np.float64(0.929), np.float64(0.937))",0.026,"(np.float64(0.01), np.float64(0.042))",0.014,"(np.float64(0.008), np.float64(0.023))",0.993,"(np.float64(0.991), np.float64(0.995))",0.689,"(np.float64(0.636), np.float64(0.733))",0.013,"(np.float64(0.01), np.float64(0.019))"
PREMATURE VENTRICULAR COMPLEXES,6,9391,0.121,0.167,"(np.float64(0.0), np.float64(0.5))",0.987,"(np.float64(0.985), np.float64(0.989))",0.015,"(np.float64(0.0), np.float64(0.059))",0.008,"(np.float64(0.0), np.float64(0.022))",0.999,"(np.float64(0.999), np.float64(1.0))",0.673,"(np.float64(0.386), np.float64(0.972))",0.003,"(np.float64(0.001), np.float64(0.013))"
WITH VENTRICULAR ESCAPE COMPLEXES,32,9365,0.01,0.156,"(np.float64(0.037), np.float64(0.301))",0.948,"(np.float64(0.945), np.float64(0.952))",0.019,"(np.float64(0.007), np.float64(0.034))",0.01,"(np.float64(0.002), np.float64(0.02))",0.997,"(np.float64(0.996), np.float64(0.998))",0.65,"(np.float64(0.544), np.float64(0.735))",0.007,"(np.float64(0.004), np.float64(0.013))"
