Label,n_pos,AUROC,AUROC_CI
WITH COMPLETE HEART BLOCK,67,0.991,"(np.float64(0.986), np.float64(0.997))"
LEFT POSTERIOR FASCICULAR BLOCK,19,0.99,"(np.float64(0.981), np.float64(0.997))"
ATRIAL FLUTTER,31,0.988,"(np.float64(0.979), np.float64(0.994))"
WOLFF-PARKINSON-WHITE,34,0.984,"(np.float64(0.966), np.float64(0.998))"
VENTRICULAR TACHYCARDIA,81,0.982,"(np.float64(0.971), np.float64(0.99))"
SUPRAVENTRICULAR TACHYCARDIA,66,0.982,"(np.float64(0.957), np.float64(0.993))"
RIGHT BUNDLE BRANCH BLOCK,290,0.98,"(np.float64(0.974), np.float64(0.985))"
ACUTE PERICARDITIS,1,0.975,"(np.float64(0.973), np.float64(0.978))"
ANTEROSEPTAL INFARCT,14,0.972,"(np.float64(0.957), np.float64(0.988))"
SINUS BRADYCARDIA,935,0.97,"(np.float64(0.965), np.float64(0.976))"
PREMATURE ATRIAL COMPLEXES,1,0.967,"(np.float64(0.964), np.float64(0.97))"
LEFT ANTERIOR FASCICULAR BLOCK,323,0.957,"(np.float64(0.948), np.float64(0.967))"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,336,0.949,"(np.float64(0.941), np.float64(0.959))"
LEFT AXIS DEVIATION,54,0.947,"(np.float64(0.928), np.float64(0.971))"
SINUS TACHYCARDIA,2210,0.946,"(np.float64(0.942), np.float64(0.949))"
LATERAL INFARCT,3,0.945,"(np.float64(0.922), np.float64(0.987))"
LEFT BUNDLE BRANCH BLOCK,18,0.945,"(np.float64(0.841), np.float64(0.997))"
ANTERIOR INFARCT,5,0.929,"(np.float64(0.821), np.float64(0.999))"
RIGHT VENTRICULAR HYPERTROPHY,693,0.922,"(np.float64(0.913), np.float64(0.93))"
RIGHT ATRIAL ENLARGEMENT,201,0.903,"(np.float64(0.887), np.float64(0.923))"
LEFT ATRIAL ENLARGEMENT,184,0.895,"(np.float64(0.87), np.float64(0.918))"
RIGHT AXIS DEVIATION,335,0.893,"(np.float64(0.882), np.float64(0.906))"
EARLY REPOLARIZATION,249,0.882,"(np.float64(0.862), np.float64(0.905))"
WITH VENTRICULAR ESCAPE COMPLEXES,32,0.881,"(np.float64(0.836), np.float64(0.932))"
WITH 2ND DEGREE SA BLOCK MOBITZ II,9,0.88,"(np.float64(0.779), np.float64(0.956))"
FUSION COMPLEXES,27,0.867,"(np.float64(0.803), np.float64(0.906))"
LEFT VENTRICULAR HYPERTROPHY,348,0.848,"(np.float64(0.83), np.float64(0.865))"
WITH SINUS ARRHYTHMIA,1975,0.842,"(np.float64(0.835), np.float64(0.851))"
PREMATURE VENTRICULAR COMPLEXES,6,0.824,"(np.float64(0.648), np.float64(0.926))"
NORMAL ECG,1759,0.82,"(np.float64(0.812), np.float64(0.829))"
LOW VOLTAGE QRS,277,0.814,"(np.float64(0.788), np.float64(0.841))"
ATRIAL FIBRILLATION,25,0.805,"(np.float64(0.674), np.float64(0.905))"
WITH 1ST DEGREE AV BLOCK,123,0.793,"(np.float64(0.739), np.float64(0.839))"
VOLTAGE CRITERIA FOR LEFT VENTRICULAR HYPERTROPHY,805,0.756,"(np.float64(0.738), np.float64(0.769))"
NONSPECIFIC ST AND T WAVE ABNORMALITY,884,0.754,"(np.float64(0.736), np.float64(0.766))"
WITH 2:1 AV CONDUCTION,40,0.752,"(np.float64(0.665), np.float64(0.825))"
INFERIOR INFARCT,8,0.746,"(np.float64(0.486), np.float64(0.951))"
WITH SINUS PAUSE,15,0.734,"(np.float64(0.508), np.float64(0.905))"
WITH AV DISSOCIATION,70,0.711,"(np.float64(0.636), np.float64(0.792))"
WITH JUNCTIONAL ESCAPE COMPLEXES,184,0.706,"(np.float64(0.67), np.float64(0.745))"
PROLONGED QT,427,0.691,"(np.float64(0.663), np.float64(0.715))"
PULMONARY DISEASE PATTERN,3,0.675,"(np.float64(0.192), np.float64(0.957))"
NONSPECIFIC T WAVE ABNORMALITY,2544,0.663,"(np.float64(0.648), np.float64(0.675))"
WITH VARIABLE AV BLOCK,67,0.662,"(np.float64(0.582), np.float64(0.742))"
NONSPECIFIC ST ABNORMALITY,326,0.66,"(np.float64(0.621), np.float64(0.694))"
otherwise normal ecg,621,0.553,"(np.float64(0.531), np.float64(0.573))"
