Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT AXIS DEVIATION,54,9343,0.566,0.444,"(np.float64(0.316), np.float64(0.596))",0.961,"(np.float64(0.957), np.float64(0.965))",0.109,"(np.float64(0.076), np.float64(0.136))",0.062,"(np.float64(0.04), np.float64(0.083))",0.997,"(np.float64(0.996), np.float64(0.998))",0.923,"(np.float64(0.902), np.float64(0.944))",0.049,"(np.float64(0.035), np.float64(0.072))"
PREMATURE ATRIAL COMPLEXES,1,9396,0.172,1.0,"(np.float64(0.0), np.float64(1.0))",0.914,"(np.float64(0.909), np.float64(0.919))",0.002,"(np.float64(0.0), np.float64(0.008))",0.001,"(np.float64(0.0), np.float64(0.004))",1.0,"(np.float64(1.0), np.float64(1.0))",0.915,"(np.float64(0.91), np.float64(0.921))",0.001,"(np.float64(0.001), np.float64(0.004))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.303,0.521,"(np.float64(0.47), np.float64(0.59))",0.957,"(np.float64(0.954), np.float64(0.961))",0.363,"(np.float64(0.322), np.float64(0.406))",0.279,"(np.float64(0.245), np.float64(0.308))",0.984,"(np.float64(0.982), np.float64(0.987))",0.915,"(np.float64(0.904), np.float64(0.928))",0.274,"(np.float64(0.226), np.float64(0.324))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.03,0.378,"(np.float64(0.331), np.float64(0.418))",0.954,"(np.float64(0.949), np.float64(0.958))",0.282,"(np.float64(0.241), np.float64(0.318))",0.225,"(np.float64(0.194), np.float64(0.26))",0.977,"(np.float64(0.974), np.float64(0.98))",0.887,"(np.float64(0.873), np.float64(0.899))",0.214,"(np.float64(0.176), np.float64(0.256))"
RIGHT AXIS DEVIATION,335,9062,0.586,0.558,"(np.float64(0.499), np.float64(0.602))",0.906,"(np.float64(0.9), np.float64(0.911))",0.272,"(np.float64(0.241), np.float64(0.298))",0.18,"(np.float64(0.16), np.float64(0.201))",0.982,"(np.float64(0.98), np.float64(0.985))",0.88,"(np.float64(0.867), np.float64(0.892))",0.166,"(np.float64(0.146), np.float64(0.195))"
ANTEROSEPTAL INFARCT,14,9383,0.414,0.143,"(np.float64(0.0), np.float64(0.333))",0.996,"(np.float64(0.995), np.float64(0.997))",0.074,"(np.float64(0.0), np.float64(0.174))",0.05,"(np.float64(0.0), np.float64(0.115))",0.999,"(np.float64(0.998), np.float64(0.999))",0.857,"(np.float64(0.789), np.float64(0.913))",0.018,"(np.float64(0.005), np.float64(0.086))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.869,0.455,"(np.float64(0.421), np.float64(0.488))",0.955,"(np.float64(0.951), np.float64(0.959))",0.451,"(np.float64(0.418), np.float64(0.481))",0.447,"(np.float64(0.418), np.float64(0.482))",0.957,"(np.float64(0.953), np.float64(0.96))",0.834,"(np.float64(0.819), np.float64(0.847))",0.412,"(np.float64(0.366), np.float64(0.45))"
ANTERIOR INFARCT,5,9392,0.828,0.2,"(np.float64(0.0), np.float64(0.71))",1.0,"(np.float64(1.0), np.float64(1.0))",0.286,"(np.float64(0.0), np.float64(0.667))",0.5,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(0.999), np.float64(1.0))",0.798,"(np.float64(0.515), np.float64(0.993))",0.111,"(np.float64(0.004), np.float64(0.463))"
ATRIAL FLUTTER,31,9366,0.263,0.548,"(np.float64(0.359), np.float64(0.743))",0.802,"(np.float64(0.793), np.float64(0.811))",0.018,"(np.float64(0.01), np.float64(0.025))",0.009,"(np.float64(0.005), np.float64(0.014))",0.998,"(np.float64(0.997), np.float64(0.999))",0.753,"(np.float64(0.675), np.float64(0.815))",0.007,"(np.float64(0.005), np.float64(0.011))"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,336,9061,0.162,0.274,"(np.float64(0.226), np.float64(0.328))",0.935,"(np.float64(0.93), np.float64(0.939))",0.18,"(np.float64(0.155), np.float64(0.208))",0.134,"(np.float64(0.113), np.float64(0.162))",0.972,"(np.float64(0.969), np.float64(0.975))",0.71,"(np.float64(0.682), np.float64(0.74))",0.094,"(np.float64(0.078), np.float64(0.115))"
PREMATURE VENTRICULAR COMPLEXES,6,9391,0.788,0.167,"(np.float64(0.0), np.float64(0.5))",0.989,"(np.float64(0.986), np.float64(0.991))",0.018,"(np.float64(0.0), np.float64(0.058))",0.009,"(np.float64(0.0), np.float64(0.034))",0.999,"(np.float64(0.999), np.float64(1.0))",0.709,"(np.float64(0.395), np.float64(0.964))",0.005,"(np.float64(0.001), np.float64(0.019))"
ATRIAL FIBRILLATION,25,9372,0.626,0.16,"(np.float64(0.04), np.float64(0.298))",0.983,"(np.float64(0.981), np.float64(0.986))",0.043,"(np.float64(0.005), np.float64(0.09))",0.025,"(np.float64(0.003), np.float64(0.049))",0.998,"(np.float64(0.997), np.float64(0.998))",0.704,"(np.float64(0.583), np.float64(0.814))",0.01,"(np.float64(0.004), np.float64(0.028))"
LEFT VENTRICULAR HYPERTROPHY,348,9049,0.485,0.175,"(np.float64(0.14), np.float64(0.217))",0.972,"(np.float64(0.969), np.float64(0.975))",0.185,"(np.float64(0.151), np.float64(0.221))",0.196,"(np.float64(0.16), np.float64(0.246))",0.968,"(np.float64(0.965), np.float64(0.971))",0.677,"(np.float64(0.65), np.float64(0.705))",0.123,"(np.float64(0.1), np.float64(0.152))"
