Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
PREMATURE ATRIAL COMPLEXES,1,9396,0.101,1.0,"(np.float64(0.0), np.float64(1.0))",0.776,"(np.float64(0.768), np.float64(0.784))",0.001,"(np.float64(0.0), np.float64(0.003))",0.0,"(np.float64(0.0), np.float64(0.001))",1.0,"(np.float64(1.0), np.float64(1.0))",0.797,"(np.float64(0.787), np.float64(0.805))",0.001,"(np.float64(0.001), np.float64(0.002))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.263,0.535,"(np.float64(0.5), np.float64(0.564))",0.816,"(np.float64(0.808), np.float64(0.826))",0.279,"(np.float64(0.254), np.float64(0.301))",0.188,"(np.float64(0.171), np.float64(0.205))",0.957,"(np.float64(0.952), np.float64(0.96))",0.76,"(np.float64(0.741), np.float64(0.774))",0.192,"(np.float64(0.177), np.float64(0.217))"
LATERAL INFARCT,3,9394,0.465,0.667,"(np.float64(0.0), np.float64(1.0))",0.753,"(np.float64(0.744), np.float64(0.762))",0.002,"(np.float64(0.0), np.float64(0.004))",0.001,"(np.float64(0.0), np.float64(0.002))",1.0,"(np.float64(1.0), np.float64(1.0))",0.701,"(np.float64(0.54), np.float64(0.805))",0.001,"(np.float64(0.0), np.float64(0.002))"
FUSION COMPLEXES,27,9370,0.667,0.037,"(np.float64(0.0), np.float64(0.125))",0.989,"(np.float64(0.986), np.float64(0.99))",0.015,"(np.float64(0.0), np.float64(0.046))",0.009,"(np.float64(0.0), np.float64(0.024))",0.997,"(np.float64(0.996), np.float64(0.998))",0.669,"(np.float64(0.589), np.float64(0.759))",0.005,"(np.float64(0.003), np.float64(0.011))"
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.03,0.421,"(np.float64(0.202), np.float64(0.634))",0.818,"(np.float64(0.811), np.float64(0.825))",0.009,"(np.float64(0.004), np.float64(0.016))",0.005,"(np.float64(0.002), np.float64(0.007))",0.999,"(np.float64(0.998), np.float64(0.999))",0.667,"(np.float64(0.54), np.float64(0.762))",0.004,"(np.float64(0.002), np.float64(0.007))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.131,0.269,"(np.float64(0.219), np.float64(0.316))",0.918,"(np.float64(0.913), np.float64(0.923))",0.151,"(np.float64(0.125), np.float64(0.177))",0.105,"(np.float64(0.082), np.float64(0.126))",0.972,"(np.float64(0.97), np.float64(0.976))",0.666,"(np.float64(0.634), np.float64(0.695))",0.085,"(np.float64(0.068), np.float64(0.105))"
ATRIAL FLUTTER,31,9366,0.626,0.29,"(np.float64(0.133), np.float64(0.458))",0.93,"(np.float64(0.925), np.float64(0.935))",0.026,"(np.float64(0.009), np.float64(0.041))",0.014,"(np.float64(0.006), np.float64(0.021))",0.997,"(np.float64(0.997), np.float64(0.999))",0.664,"(np.float64(0.575), np.float64(0.756))",0.007,"(np.float64(0.004), np.float64(0.012))"
ANTERIOR INFARCT,5,9392,0.616,0.2,"(np.float64(0.0), np.float64(0.635))",0.926,"(np.float64(0.921), np.float64(0.932))",0.003,"(np.float64(0.0), np.float64(0.01))",0.001,"(np.float64(0.0), np.float64(0.004))",1.0,"(np.float64(0.999), np.float64(1.0))",0.658,"(np.float64(0.476), np.float64(0.851))",0.001,"(np.float64(0.0), np.float64(0.003))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.65,"(np.float64(0.643), np.float64(0.66))",0.0,"(np.float64(0.0), np.float64(0.001))"
ATRIAL FIBRILLATION,25,9372,0.394,0.32,"(np.float64(0.13), np.float64(0.517))",0.885,"(np.float64(0.88), np.float64(0.891))",0.014,"(np.float64(0.006), np.float64(0.023))",0.007,"(np.float64(0.003), np.float64(0.012))",0.998,"(np.float64(0.997), np.float64(0.999))",0.642,"(np.float64(0.545), np.float64(0.738))",0.005,"(np.float64(0.003), np.float64(0.008))"
WITH 2:1 AV CONDUCTION,40,9357,0.293,0.075,"(np.float64(0.022), np.float64(0.157))",0.992,"(np.float64(0.99), np.float64(0.994))",0.05,"(np.float64(0.0), np.float64(0.097))",0.038,"(np.float64(0.0), np.float64(0.075))",0.996,"(np.float64(0.995), np.float64(0.997))",0.583,"(np.float64(0.52), np.float64(0.67))",0.009,"(np.float64(0.005), np.float64(0.025))"
otherwise normal ecg,621,8776,0.01,0.683,"(np.float64(0.65), np.float64(0.715))",0.423,"(np.float64(0.412), np.float64(0.431))",0.139,"(np.float64(0.126), np.float64(0.152))",0.077,"(np.float64(0.07), np.float64(0.085))",0.95,"(np.float64(0.943), np.float64(0.956))",0.58,"(np.float64(0.559), np.float64(0.6))",0.085,"(np.float64(0.078), np.float64(0.096))"
NONSPECIFIC T WAVE ABNORMALITY,2544,6853,0.121,0.909,"(np.float64(0.896), np.float64(0.919))",0.139,"(np.float64(0.13), np.float64(0.145))",0.43,"(np.float64(0.419), np.float64(0.441))",0.281,"(np.float64(0.272), np.float64(0.29))",0.804,"(np.float64(0.787), np.float64(0.828))",0.574,"(np.float64(0.564), np.float64(0.59))",0.339,"(np.float64(0.322), np.float64(0.357))"
WITH AV DISSOCIATION,70,9327,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.015,"(np.float64(0.012), np.float64(0.018))",0.007,"(np.float64(0.006), np.float64(0.009))",0.0,"(np.float64(0.0), np.float64(0.0))",0.567,"(np.float64(0.49), np.float64(0.648))",0.019,"(np.float64(0.01), np.float64(0.048))"
WITH COMPLETE HEART BLOCK,67,9330,0.02,0.776,"(np.float64(0.675), np.float64(0.86))",0.411,"(np.float64(0.402), np.float64(0.421))",0.019,"(np.float64(0.012), np.float64(0.024))",0.009,"(np.float64(0.007), np.float64(0.012))",0.996,"(np.float64(0.994), np.float64(0.998))",0.562,"(np.float64(0.51), np.float64(0.626))",0.008,"(np.float64(0.006), np.float64(0.01))"
EARLY REPOLARIZATION,249,9148,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.052,"(np.float64(0.046), np.float64(0.057))",0.026,"(np.float64(0.024), np.float64(0.03))",0.0,"(np.float64(0.0), np.float64(0.0))",0.561,"(np.float64(0.533), np.float64(0.595))",0.034,"(np.float64(0.029), np.float64(0.043))"
RIGHT AXIS DEVIATION,335,9062,0.061,0.185,"(np.float64(0.154), np.float64(0.229))",0.88,"(np.float64(0.873), np.float64(0.886))",0.083,"(np.float64(0.068), np.float64(0.104))",0.054,"(np.float64(0.041), np.float64(0.066))",0.967,"(np.float64(0.963), np.float64(0.97))",0.556,"(np.float64(0.52), np.float64(0.58))",0.045,"(np.float64(0.039), np.float64(0.055))"
PROLONGED QT,427,8970,0.03,0.382,"(np.float64(0.339), np.float64(0.425))",0.685,"(np.float64(0.675), np.float64(0.693))",0.095,"(np.float64(0.083), np.float64(0.108))",0.055,"(np.float64(0.046), np.float64(0.06))",0.959,"(np.float64(0.955), np.float64(0.964))",0.54,"(np.float64(0.512), np.float64(0.563))",0.052,"(np.float64(0.046), np.float64(0.062))"
LOW VOLTAGE QRS,277,9120,0.222,0.697,"(np.float64(0.639), np.float64(0.75))",0.383,"(np.float64(0.371), np.float64(0.394))",0.063,"(np.float64(0.054), np.float64(0.073))",0.033,"(np.float64(0.028), np.float64(0.037))",0.977,"(np.float64(0.972), np.float64(0.981))",0.536,"(np.float64(0.511), np.float64(0.567))",0.032,"(np.float64(0.027), np.float64(0.038))"
WITH VENTRICULAR ESCAPE COMPLEXES,32,9365,0.051,0.062,"(np.float64(0.0), np.float64(0.172))",0.949,"(np.float64(0.945), np.float64(0.953))",0.008,"(np.float64(0.0), np.float64(0.022))",0.004,"(np.float64(0.0), np.float64(0.01))",0.997,"(np.float64(0.995), np.float64(0.998))",0.526,"(np.float64(0.442), np.float64(0.633))",0.004,"(np.float64(0.003), np.float64(0.006))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.192,0.167,"(np.float64(0.0), np.float64(0.323))",0.871,"(np.float64(0.866), np.float64(0.877))",0.005,"(np.float64(0.0), np.float64(0.011))",0.002,"(np.float64(0.0), np.float64(0.006))",0.998,"(np.float64(0.997), np.float64(0.999))",0.525,"(np.float64(0.419), np.float64(0.649))",0.002,"(np.float64(0.001), np.float64(0.004))"
PREMATURE VENTRICULAR COMPLEXES,6,9391,0.263,0.667,"(np.float64(0.17), np.float64(1.0))",0.515,"(np.float64(0.505), np.float64(0.525))",0.002,"(np.float64(0.0), np.float64(0.003))",0.001,"(np.float64(0.0), np.float64(0.002))",1.0,"(np.float64(0.999), np.float64(1.0))",0.524,"(np.float64(0.357), np.float64(0.705))",0.001,"(np.float64(0.0), np.float64(0.002))"
NORMAL ECG,1759,7638,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.315,"(np.float64(0.305), np.float64(0.328))",0.187,"(np.float64(0.181), np.float64(0.194))",0.0,"(np.float64(0.0), np.float64(0.0))",0.5,"(np.float64(0.486), np.float64(0.513))",0.181,"(np.float64(0.172), np.float64(0.192))"
WITH JUNCTIONAL ESCAPE COMPLEXES,184,9213,0.061,0.288,"(np.float64(0.232), np.float64(0.353))",0.73,"(np.float64(0.723), np.float64(0.739))",0.039,"(np.float64(0.029), np.float64(0.048))",0.021,"(np.float64(0.014), np.float64(0.026))",0.981,"(np.float64(0.978), np.float64(0.984))",0.5,"(np.float64(0.465), np.float64(0.536))",0.02,"(np.float64(0.017), np.float64(0.025))"
ANTEROSEPTAL INFARCT,14,9383,0.131,0.643,"(np.float64(0.345), np.float64(0.875))",0.486,"(np.float64(0.476), np.float64(0.495))",0.004,"(np.float64(0.001), np.float64(0.006))",0.002,"(np.float64(0.001), np.float64(0.003))",0.999,"(np.float64(0.997), np.float64(1.0))",0.496,"(np.float64(0.383), np.float64(0.596))",0.001,"(np.float64(0.001), np.float64(0.003))"
SINUS BRADYCARDIA,935,8462,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.181,"(np.float64(0.172), np.float64(0.192))",0.099,"(np.float64(0.094), np.float64(0.106))",0.0,"(np.float64(0.0), np.float64(0.0))",0.485,"(np.float64(0.467), np.float64(0.505))",0.096,"(np.float64(0.088), np.float64(0.103))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.97,0.067,"(np.float64(0.02), np.float64(0.14))",0.997,"(np.float64(0.996), np.float64(0.998))",0.078,"(np.float64(0.0), np.float64(0.167))",0.094,"(np.float64(0.0), np.float64(0.2))",0.996,"(np.float64(0.994), np.float64(0.997))",0.482,"(np.float64(0.389), np.float64(0.589))",0.018,"(np.float64(0.005), np.float64(0.068))"
LEFT AXIS DEVIATION,54,9343,0.949,0.056,"(np.float64(0.0), np.float64(0.13))",0.981,"(np.float64(0.979), np.float64(0.984))",0.026,"(np.float64(0.0), np.float64(0.061))",0.017,"(np.float64(0.0), np.float64(0.032))",0.994,"(np.float64(0.993), np.float64(0.996))",0.475,"(np.float64(0.397), np.float64(0.559))",0.006,"(np.float64(0.004), np.float64(0.011))"
WITH 1ST DEGREE AV BLOCK,123,9274,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.026,"(np.float64(0.022), np.float64(0.03))",0.013,"(np.float64(0.011), np.float64(0.015))",0.0,"(np.float64(0.0), np.float64(0.0))",0.466,"(np.float64(0.425), np.float64(0.512))",0.013,"(np.float64(0.01), np.float64(0.02))"
RIGHT ATRIAL ENLARGEMENT,201,9196,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.042,"(np.float64(0.036), np.float64(0.047))",0.021,"(np.float64(0.018), np.float64(0.024))",0.0,"(np.float64(0.0), np.float64(0.0))",0.463,"(np.float64(0.428), np.float64(0.506))",0.02,"(np.float64(0.017), np.float64(0.024))"
WITH VARIABLE AV BLOCK,67,9330,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.014,"(np.float64(0.011), np.float64(0.018))",0.007,"(np.float64(0.005), np.float64(0.009))",0.0,"(np.float64(0.0), np.float64(0.0))",0.455,"(np.float64(0.387), np.float64(0.514))",0.007,"(np.float64(0.005), np.float64(0.011))"
LEFT VENTRICULAR HYPERTROPHY,348,9049,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.071,"(np.float64(0.063), np.float64(0.079))",0.037,"(np.float64(0.034), np.float64(0.041))",0.0,"(np.float64(0.0), np.float64(0.0))",0.446,"(np.float64(0.423), np.float64(0.472))",0.033,"(np.float64(0.029), np.float64(0.038))"
LEFT ATRIAL ENLARGEMENT,184,9213,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.038,"(np.float64(0.033), np.float64(0.043))",0.02,"(np.float64(0.017), np.float64(0.022))",0.0,"(np.float64(0.0), np.float64(0.0))",0.442,"(np.float64(0.4), np.float64(0.483))",0.019,"(np.float64(0.015), np.float64(0.028))"
VENTRICULAR TACHYCARDIA,81,9316,0.919,0.062,"(np.float64(0.015), np.float64(0.121))",0.988,"(np.float64(0.986), np.float64(0.99))",0.05,"(np.float64(0.02), np.float64(0.09))",0.042,"(np.float64(0.004), np.float64(0.082))",0.992,"(np.float64(0.99), np.float64(0.994))",0.431,"(np.float64(0.37), np.float64(0.499))",0.018,"(np.float64(0.007), np.float64(0.061))"
SINUS TACHYCARDIA,2210,7187,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.381,"(np.float64(0.372), np.float64(0.392))",0.235,"(np.float64(0.228), np.float64(0.243))",0.0,"(np.float64(0.0), np.float64(0.0))",0.413,"(np.float64(0.4), np.float64(0.427))",0.215,"(np.float64(0.204), np.float64(0.229))"
