experiment,model_size,n_train_requested,n_train_actual,n_val,n_test,total_params,trainable_params,best_val_AUROC,test_macro_AUROC
large_full,large,full,6690,766,1941,30819014,30819014,0.8433,0.7993
large_3000,large,3000,3000,766,1941,30819014,30819014,0.8492,0.7675
large_1000,large,1000,1000,766,1941,30819014,30819014,0.8101,0.7394
large_500,large,500,500,766,1941,30819014,30819014,0.7263,0.7018
medium_full,medium,full,6690,766,1941,17388906,17388906,0.8374,0.7936
medium_3000,medium,3000,3000,766,1941,17388906,17388906,0.8467,0.7782
medium_1000,medium,1000,1000,766,1941,17388906,17388906,0.7987,0.7389
medium_500,medium,500,500,766,1941,17388906,17388906,0.7164,0.693
small_full,small,full,6690,766,1941,5765638,5765638,0.8327,0.8232
small_3000,small,3000,3000,766,1941,5765638,5765638,0.8221,0.7698
small_1000,small,1000,1000,766,1941,5765638,5765638,0.7838,0.7302
small_500,small,500,500,766,1941,5765638,5765638,0.6971,0.7036
