Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.232,0.737,"(np.float64(0.547), np.float64(0.904))",1.0,"(np.float64(1.0), np.float64(1.0))",0.824,"(np.float64(0.636), np.float64(0.938))",0.933,"(np.float64(0.818), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.991,"(np.float64(0.971), np.float64(1.0))",0.809,"(np.float64(0.607), np.float64(0.968))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.242,0.786,"(np.float64(0.752), np.float64(0.829))",0.988,"(np.float64(0.985), np.float64(0.99))",0.736,"(np.float64(0.703), np.float64(0.777))",0.692,"(np.float64(0.659), np.float64(0.745))",0.992,"(np.float64(0.991), np.float64(0.994))",0.99,"(np.float64(0.987), np.float64(0.991))",0.804,"(np.float64(0.767), np.float64(0.846))"
SINUS BRADYCARDIA,935,8462,0.303,0.87,"(np.float64(0.85), np.float64(0.89))",0.988,"(np.float64(0.985), np.float64(0.989))",0.878,"(np.float64(0.86), np.float64(0.891))",0.887,"(np.float64(0.867), np.float64(0.907))",0.986,"(np.float64(0.983), np.float64(0.988))",0.989,"(np.float64(0.986), np.float64(0.992))",0.929,"(np.float64(0.915), np.float64(0.941))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.242,0.807,"(np.float64(0.76), np.float64(0.853))",0.991,"(np.float64(0.989), np.float64(0.993))",0.775,"(np.float64(0.74), np.float64(0.816))",0.745,"(np.float64(0.699), np.float64(0.793))",0.994,"(np.float64(0.992), np.float64(0.995))",0.989,"(np.float64(0.985), np.float64(0.992))",0.76,"(np.float64(0.704), np.float64(0.818))"
VENTRICULAR TACHYCARDIA,81,9316,0.273,0.679,"(np.float64(0.561), np.float64(0.797))",0.996,"(np.float64(0.995), np.float64(0.997))",0.632,"(np.float64(0.508), np.float64(0.713))",0.591,"(np.float64(0.509), np.float64(0.688))",0.997,"(np.float64(0.996), np.float64(0.998))",0.985,"(np.float64(0.976), np.float64(0.994))",0.694,"(np.float64(0.608), np.float64(0.789))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.061,0.389,"(np.float64(0.176), np.float64(0.58))",0.999,"(np.float64(0.999), np.float64(1.0))",0.467,"(np.float64(0.281), np.float64(0.696))",0.583,"(np.float64(0.333), np.float64(0.852))",0.999,"(np.float64(0.998), np.float64(0.999))",0.982,"(np.float64(0.958), np.float64(0.997))",0.454,"(np.float64(0.285), np.float64(0.665))"
LEFT AXIS DEVIATION,54,9343,0.162,0.426,"(np.float64(0.313), np.float64(0.555))",0.996,"(np.float64(0.995), np.float64(0.998))",0.418,"(np.float64(0.297), np.float64(0.535))",0.411,"(np.float64(0.286), np.float64(0.519))",0.997,"(np.float64(0.995), np.float64(0.998))",0.981,"(np.float64(0.973), np.float64(0.988))",0.371,"(np.float64(0.248), np.float64(0.514))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.263,0.378,"(np.float64(0.244), np.float64(0.506))",0.999,"(np.float64(0.998), np.float64(0.999))",0.459,"(np.float64(0.312), np.float64(0.576))",0.586,"(np.float64(0.422), np.float64(0.787))",0.997,"(np.float64(0.996), np.float64(0.998))",0.973,"(np.float64(0.959), np.float64(0.983))",0.411,"(np.float64(0.295), np.float64(0.515))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.253,0.753,"(np.float64(0.731), np.float64(0.789))",0.973,"(np.float64(0.969), np.float64(0.976))",0.719,"(np.float64(0.693), np.float64(0.741))",0.688,"(np.float64(0.658), np.float64(0.718))",0.98,"(np.float64(0.978), np.float64(0.983))",0.972,"(np.float64(0.968), np.float64(0.977))",0.769,"(np.float64(0.741), np.float64(0.803))"
RIGHT AXIS DEVIATION,335,9062,0.273,0.606,"(np.float64(0.566), np.float64(0.656))",0.982,"(np.float64(0.98), np.float64(0.985))",0.58,"(np.float64(0.536), np.float64(0.623))",0.556,"(np.float64(0.503), np.float64(0.602))",0.985,"(np.float64(0.984), np.float64(0.987))",0.97,"(np.float64(0.965), np.float64(0.975))",0.608,"(np.float64(0.558), np.float64(0.662))"
