Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.343,0.737,"(np.float64(0.518), np.float64(0.889))",1.0,"(np.float64(0.999), np.float64(1.0))",0.8,"(np.float64(0.636), np.float64(0.94))",0.875,"(np.float64(0.7), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.996,"(np.float64(0.988), np.float64(1.0))",0.818,"(np.float64(0.615), np.float64(0.959))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.162,0.827,"(np.float64(0.791), np.float64(0.863))",0.989,"(np.float64(0.987), np.float64(0.991))",0.773,"(np.float64(0.736), np.float64(0.805))",0.726,"(np.float64(0.671), np.float64(0.774))",0.994,"(np.float64(0.992), np.float64(0.995))",0.99,"(np.float64(0.987), np.float64(0.993))",0.819,"(np.float64(0.772), np.float64(0.853))"
SINUS BRADYCARDIA,935,8462,0.414,0.868,"(np.float64(0.846), np.float64(0.893))",0.989,"(np.float64(0.987), np.float64(0.991))",0.884,"(np.float64(0.869), np.float64(0.9))",0.899,"(np.float64(0.88), np.float64(0.915))",0.986,"(np.float64(0.983), np.float64(0.988))",0.99,"(np.float64(0.987), np.float64(0.993))",0.939,"(np.float64(0.925), np.float64(0.949))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.394,0.79,"(np.float64(0.749), np.float64(0.837))",0.992,"(np.float64(0.99), np.float64(0.994))",0.772,"(np.float64(0.73), np.float64(0.802))",0.756,"(np.float64(0.716), np.float64(0.806))",0.993,"(np.float64(0.991), np.float64(0.995))",0.989,"(np.float64(0.986), np.float64(0.992))",0.771,"(np.float64(0.728), np.float64(0.823))"
VENTRICULAR TACHYCARDIA,81,9316,0.121,0.753,"(np.float64(0.671), np.float64(0.848))",0.997,"(np.float64(0.995), np.float64(0.998))",0.705,"(np.float64(0.622), np.float64(0.76))",0.663,"(np.float64(0.561), np.float64(0.751))",0.998,"(np.float64(0.997), np.float64(0.999))",0.989,"(np.float64(0.983), np.float64(0.996))",0.735,"(np.float64(0.65), np.float64(0.814))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.071,0.5,"(np.float64(0.288), np.float64(0.718))",0.999,"(np.float64(0.998), np.float64(1.0))",0.5,"(np.float64(0.285), np.float64(0.68))",0.5,"(np.float64(0.25), np.float64(0.685))",0.999,"(np.float64(0.999), np.float64(1.0))",0.984,"(np.float64(0.959), np.float64(0.997))",0.467,"(np.float64(0.289), np.float64(0.706))"
LEFT AXIS DEVIATION,54,9343,0.303,0.352,"(np.float64(0.231), np.float64(0.475))",0.999,"(np.float64(0.998), np.float64(0.999))",0.442,"(np.float64(0.329), np.float64(0.568))",0.594,"(np.float64(0.441), np.float64(0.755))",0.996,"(np.float64(0.995), np.float64(0.997))",0.982,"(np.float64(0.975), np.float64(0.988))",0.42,"(np.float64(0.305), np.float64(0.584))"
ATRIAL FLUTTER,31,9366,0.111,0.226,"(np.float64(0.094), np.float64(0.364))",0.999,"(np.float64(0.999), np.float64(1.0))",0.318,"(np.float64(0.138), np.float64(0.477))",0.538,"(np.float64(0.226), np.float64(0.852))",0.997,"(np.float64(0.996), np.float64(0.999))",0.974,"(np.float64(0.961), np.float64(0.986))",0.287,"(np.float64(0.147), np.float64(0.414))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.444,0.687,"(np.float64(0.654), np.float64(0.72))",0.98,"(np.float64(0.978), np.float64(0.983))",0.71,"(np.float64(0.685), np.float64(0.738))",0.736,"(np.float64(0.704), np.float64(0.768))",0.975,"(np.float64(0.972), np.float64(0.978))",0.973,"(np.float64(0.969), np.float64(0.977))",0.769,"(np.float64(0.738), np.float64(0.801))"
RIGHT AXIS DEVIATION,335,9062,0.323,0.615,"(np.float64(0.567), np.float64(0.672))",0.981,"(np.float64(0.979), np.float64(0.984))",0.581,"(np.float64(0.537), np.float64(0.616))",0.551,"(np.float64(0.506), np.float64(0.594))",0.986,"(np.float64(0.983), np.float64(0.988))",0.97,"(np.float64(0.964), np.float64(0.976))",0.617,"(np.float64(0.568), np.float64(0.657))"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,336,9061,0.303,0.631,"(np.float64(0.569), np.float64(0.679))",0.985,"(np.float64(0.984), np.float64(0.988))",0.624,"(np.float64(0.577), np.float64(0.667))",0.616,"(np.float64(0.545), np.float64(0.67))",0.986,"(np.float64(0.983), np.float64(0.989))",0.968,"(np.float64(0.96), np.float64(0.975))",0.644,"(np.float64(0.584), np.float64(0.693))"
SINUS TACHYCARDIA,2210,7187,0.566,0.854,"(np.float64(0.841), np.float64(0.869))",0.926,"(np.float64(0.921), np.float64(0.932))",0.816,"(np.float64(0.8), np.float64(0.829))",0.781,"(np.float64(0.768), np.float64(0.799))",0.954,"(np.float64(0.949), np.float64(0.959))",0.963,"(np.float64(0.96), np.float64(0.967))",0.89,"(np.float64(0.879), np.float64(0.9))"
ANTEROSEPTAL INFARCT,14,9383,0.091,0.214,"(np.float64(0.065), np.float64(0.462))",0.999,"(np.float64(0.998), np.float64(0.999))",0.207,"(np.float64(0.029), np.float64(0.387))",0.2,"(np.float64(0.0), np.float64(0.387))",0.999,"(np.float64(0.998), np.float64(0.999))",0.961,"(np.float64(0.923), np.float64(0.986))",0.082,"(np.float64(0.029), np.float64(0.2))"
WITH COMPLETE HEART BLOCK,67,9330,0.303,0.493,"(np.float64(0.383), np.float64(0.605))",0.999,"(np.float64(0.998), np.float64(0.999))",0.584,"(np.float64(0.459), np.float64(0.702))",0.717,"(np.float64(0.586), np.float64(0.831))",0.996,"(np.float64(0.995), np.float64(0.997))",0.959,"(np.float64(0.936), np.float64(0.977))",0.575,"(np.float64(0.465), np.float64(0.703))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.091,0.4,"(np.float64(0.248), np.float64(0.543))",0.999,"(np.float64(0.999), np.float64(1.0))",0.514,"(np.float64(0.369), np.float64(0.631))",0.72,"(np.float64(0.528), np.float64(0.873))",0.997,"(np.float64(0.996), np.float64(0.998))",0.958,"(np.float64(0.934), np.float64(0.981))",0.478,"(np.float64(0.311), np.float64(0.607))"
WITH 1ST DEGREE AV BLOCK,123,9274,0.051,0.472,"(np.float64(0.407), np.float64(0.568))",0.995,"(np.float64(0.993), np.float64(0.996))",0.502,"(np.float64(0.425), np.float64(0.57))",0.537,"(np.float64(0.447), np.float64(0.64))",0.993,"(np.float64(0.991), np.float64(0.994))",0.958,"(np.float64(0.938), np.float64(0.969))",0.493,"(np.float64(0.387), np.float64(0.586))"
WITH VENTRICULAR ESCAPE COMPLEXES,32,9365,0.061,0.562,"(np.float64(0.389), np.float64(0.75))",0.998,"(np.float64(0.997), np.float64(0.999))",0.522,"(np.float64(0.353), np.float64(0.646))",0.486,"(np.float64(0.333), np.float64(0.682))",0.999,"(np.float64(0.998), np.float64(0.999))",0.955,"(np.float64(0.913), np.float64(0.986))",0.393,"(np.float64(0.223), np.float64(0.599))"
LEFT VENTRICULAR HYPERTROPHY,348,9049,0.273,0.489,"(np.float64(0.439), np.float64(0.551))",0.993,"(np.float64(0.991), np.float64(0.994))",0.582,"(np.float64(0.543), np.float64(0.624))",0.72,"(np.float64(0.664), np.float64(0.779))",0.981,"(np.float64(0.978), np.float64(0.983))",0.954,"(np.float64(0.945), np.float64(0.962))",0.624,"(np.float64(0.569), np.float64(0.679))"
