Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.535,0.579,"(np.float64(0.356), np.float64(0.837))",1.0,"(np.float64(1.0), np.float64(1.0))",0.71,"(np.float64(0.522), np.float64(0.858))",0.917,"(np.float64(0.75), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.991,"(np.float64(0.978), np.float64(0.999))",0.724,"(np.float64(0.526), np.float64(0.885))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.394,0.776,"(np.float64(0.721), np.float64(0.828))",0.992,"(np.float64(0.99), np.float64(0.993))",0.764,"(np.float64(0.725), np.float64(0.802))",0.753,"(np.float64(0.699), np.float64(0.794))",0.993,"(np.float64(0.991), np.float64(0.994))",0.989,"(np.float64(0.985), np.float64(0.992))",0.755,"(np.float64(0.703), np.float64(0.806))"
SINUS BRADYCARDIA,935,8462,0.545,0.849,"(np.float64(0.823), np.float64(0.876))",0.985,"(np.float64(0.982), np.float64(0.987))",0.855,"(np.float64(0.841), np.float64(0.865))",0.861,"(np.float64(0.839), np.float64(0.883))",0.983,"(np.float64(0.981), np.float64(0.986))",0.987,"(np.float64(0.983), np.float64(0.989))",0.907,"(np.float64(0.888), np.float64(0.929))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.202,0.808,"(np.float64(0.768), np.float64(0.844))",0.983,"(np.float64(0.98), np.float64(0.986))",0.704,"(np.float64(0.665), np.float64(0.733))",0.623,"(np.float64(0.579), np.float64(0.66))",0.993,"(np.float64(0.992), np.float64(0.995))",0.987,"(np.float64(0.983), np.float64(0.99))",0.754,"(np.float64(0.711), np.float64(0.799))"
VENTRICULAR TACHYCARDIA,81,9316,0.253,0.716,"(np.float64(0.607), np.float64(0.8))",0.996,"(np.float64(0.995), np.float64(0.997))",0.667,"(np.float64(0.568), np.float64(0.753))",0.624,"(np.float64(0.518), np.float64(0.71))",0.998,"(np.float64(0.997), np.float64(0.998))",0.986,"(np.float64(0.969), np.float64(0.994))",0.68,"(np.float64(0.596), np.float64(0.772))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.979,"(np.float64(0.976), np.float64(0.982))",0.005,"(np.float64(0.004), np.float64(0.017))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.172,0.222,"(np.float64(0.077), np.float64(0.424))",1.0,"(np.float64(1.0), np.float64(1.0))",0.364,"(np.float64(0.048), np.float64(0.638))",1.0,"(np.float64(1.0), np.float64(1.0))",0.999,"(np.float64(0.998), np.float64(0.999))",0.971,"(np.float64(0.926), np.float64(0.995))",0.358,"(np.float64(0.201), np.float64(0.56))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.202,0.178,"(np.float64(0.067), np.float64(0.313))",0.999,"(np.float64(0.998), np.float64(0.999))",0.254,"(np.float64(0.109), np.float64(0.376))",0.444,"(np.float64(0.133), np.float64(0.657))",0.996,"(np.float64(0.995), np.float64(0.997))",0.967,"(np.float64(0.954), np.float64(0.98))",0.223,"(np.float64(0.128), np.float64(0.343))"
LEFT AXIS DEVIATION,54,9343,0.141,0.241,"(np.float64(0.149), np.float64(0.365))",0.996,"(np.float64(0.995), np.float64(0.997))",0.248,"(np.float64(0.13), np.float64(0.358))",0.255,"(np.float64(0.154), np.float64(0.4))",0.996,"(np.float64(0.994), np.float64(0.997))",0.965,"(np.float64(0.942), np.float64(0.98))",0.236,"(np.float64(0.13), np.float64(0.352))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.283,0.704,"(np.float64(0.677), np.float64(0.735))",0.969,"(np.float64(0.964), np.float64(0.972))",0.671,"(np.float64(0.649), np.float64(0.703))",0.64,"(np.float64(0.607), np.float64(0.675))",0.976,"(np.float64(0.973), np.float64(0.98))",0.965,"(np.float64(0.96), np.float64(0.971))",0.699,"(np.float64(0.661), np.float64(0.733))"
