Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.354,0.737,"(np.float64(0.546), np.float64(0.936))",1.0,"(np.float64(0.999), np.float64(1.0))",0.778,"(np.float64(0.62), np.float64(0.926))",0.824,"(np.float64(0.667), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.997,"(np.float64(0.992), np.float64(1.0))",0.731,"(np.float64(0.534), np.float64(0.925))"
VENTRICULAR TACHYCARDIA,81,9316,0.303,0.728,"(np.float64(0.606), np.float64(0.825))",0.998,"(np.float64(0.997), np.float64(0.999))",0.737,"(np.float64(0.678), np.float64(0.806))",0.747,"(np.float64(0.673), np.float64(0.854))",0.998,"(np.float64(0.997), np.float64(0.998))",0.991,"(np.float64(0.983), np.float64(0.997))",0.771,"(np.float64(0.679), np.float64(0.864))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.303,0.793,"(np.float64(0.753), np.float64(0.833))",0.991,"(np.float64(0.989), np.float64(0.992))",0.764,"(np.float64(0.729), np.float64(0.798))",0.737,"(np.float64(0.701), np.float64(0.791))",0.993,"(np.float64(0.992), np.float64(0.995))",0.988,"(np.float64(0.984), np.float64(0.991))",0.779,"(np.float64(0.72), np.float64(0.826))"
SINUS BRADYCARDIA,935,8462,0.364,0.86,"(np.float64(0.837), np.float64(0.883))",0.982,"(np.float64(0.979), np.float64(0.985))",0.849,"(np.float64(0.833), np.float64(0.867))",0.838,"(np.float64(0.819), np.float64(0.86))",0.984,"(np.float64(0.982), np.float64(0.987))",0.986,"(np.float64(0.982), np.float64(0.988))",0.902,"(np.float64(0.886), np.float64(0.918))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.283,0.817,"(np.float64(0.785), np.float64(0.864))",0.983,"(np.float64(0.981), np.float64(0.986))",0.716,"(np.float64(0.677), np.float64(0.754))",0.638,"(np.float64(0.587), np.float64(0.68))",0.993,"(np.float64(0.992), np.float64(0.995))",0.985,"(np.float64(0.98), np.float64(0.989))",0.735,"(np.float64(0.684), np.float64(0.796))"
ANTEROSEPTAL INFARCT,14,9383,0.081,0.571,"(np.float64(0.304), np.float64(0.875))",0.999,"(np.float64(0.999), np.float64(1.0))",0.571,"(np.float64(0.348), np.float64(0.808))",0.571,"(np.float64(0.304), np.float64(0.786))",0.999,"(np.float64(0.999), np.float64(1.0))",0.983,"(np.float64(0.967), np.float64(0.995))",0.355,"(np.float64(0.159), np.float64(0.651))"
LATERAL INFARCT,3,9394,0.02,0.333,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(0.999), np.float64(1.0))",0.286,"(np.float64(0.0), np.float64(0.71))",0.25,"(np.float64(0.0), np.float64(0.905))",1.0,"(np.float64(1.0), np.float64(1.0))",0.976,"(np.float64(0.929), np.float64(1.0))",0.194,"(np.float64(0.002), np.float64(0.919))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.192,0.467,"(np.float64(0.363), np.float64(0.596))",0.999,"(np.float64(0.998), np.float64(0.999))",0.538,"(np.float64(0.373), np.float64(0.667))",0.636,"(np.float64(0.466), np.float64(0.782))",0.997,"(np.float64(0.997), np.float64(0.998))",0.974,"(np.float64(0.955), np.float64(0.989))",0.482,"(np.float64(0.331), np.float64(0.635))"
LEFT AXIS DEVIATION,54,9343,0.101,0.481,"(np.float64(0.371), np.float64(0.595))",0.993,"(np.float64(0.991), np.float64(0.994))",0.349,"(np.float64(0.262), np.float64(0.457))",0.274,"(np.float64(0.184), np.float64(0.355))",0.997,"(np.float64(0.996), np.float64(0.998))",0.973,"(np.float64(0.961), np.float64(0.985))",0.236,"(np.float64(0.153), np.float64(0.346))"
ATRIAL FLUTTER,31,9366,0.081,0.419,"(np.float64(0.244), np.float64(0.587))",0.998,"(np.float64(0.997), np.float64(0.999))",0.4,"(np.float64(0.245), np.float64(0.53))",0.382,"(np.float64(0.222), np.float64(0.566))",0.998,"(np.float64(0.997), np.float64(0.999))",0.973,"(np.float64(0.963), np.float64(0.985))",0.308,"(np.float64(0.168), np.float64(0.447))"
