Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.212,0.789,"(np.float64(0.649), np.float64(0.944))",1.0,"(np.float64(0.999), np.float64(1.0))",0.811,"(np.float64(0.674), np.float64(0.926))",0.833,"(np.float64(0.644), np.float64(1.0))",1.0,"(np.float64(0.999), np.float64(1.0))",0.995,"(np.float64(0.989), np.float64(1.0))",0.718,"(np.float64(0.51), np.float64(0.915))"
VENTRICULAR TACHYCARDIA,81,9316,0.303,0.716,"(np.float64(0.601), np.float64(0.797))",0.995,"(np.float64(0.994), np.float64(0.996))",0.634,"(np.float64(0.547), np.float64(0.715))",0.569,"(np.float64(0.471), np.float64(0.647))",0.998,"(np.float64(0.997), np.float64(0.998))",0.987,"(np.float64(0.974), np.float64(0.996))",0.675,"(np.float64(0.589), np.float64(0.77))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.212,0.728,"(np.float64(0.676), np.float64(0.771))",0.989,"(np.float64(0.987), np.float64(0.991))",0.705,"(np.float64(0.672), np.float64(0.752))",0.683,"(np.float64(0.633), np.float64(0.729))",0.991,"(np.float64(0.989), np.float64(0.993))",0.984,"(np.float64(0.98), np.float64(0.989))",0.72,"(np.float64(0.662), np.float64(0.775))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.162,0.768,"(np.float64(0.723), np.float64(0.809))",0.983,"(np.float64(0.981), np.float64(0.986))",0.686,"(np.float64(0.653), np.float64(0.721))",0.62,"(np.float64(0.577), np.float64(0.667))",0.992,"(np.float64(0.99), np.float64(0.993))",0.984,"(np.float64(0.981), np.float64(0.988))",0.708,"(np.float64(0.667), np.float64(0.764))"
SINUS BRADYCARDIA,935,8462,0.293,0.883,"(np.float64(0.861), np.float64(0.901))",0.973,"(np.float64(0.97), np.float64(0.975))",0.83,"(np.float64(0.814), np.float64(0.845))",0.783,"(np.float64(0.758), np.float64(0.803))",0.987,"(np.float64(0.985), np.float64(0.989))",0.982,"(np.float64(0.979), np.float64(0.985))",0.886,"(np.float64(0.867), np.float64(0.904))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.515,0.444,"(np.float64(0.171), np.float64(0.638))",1.0,"(np.float64(0.999), np.float64(1.0))",0.571,"(np.float64(0.298), np.float64(0.75))",0.8,"(np.float64(0.5), np.float64(1.0))",0.999,"(np.float64(0.998), np.float64(0.999))",0.981,"(np.float64(0.946), np.float64(0.999))",0.606,"(np.float64(0.384), np.float64(0.748))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.152,0.333,"(np.float64(0.202), np.float64(0.481))",0.999,"(np.float64(0.999), np.float64(1.0))",0.441,"(np.float64(0.32), np.float64(0.579))",0.652,"(np.float64(0.466), np.float64(0.811))",0.997,"(np.float64(0.996), np.float64(0.998))",0.978,"(np.float64(0.966), np.float64(0.99))",0.419,"(np.float64(0.27), np.float64(0.593))"
LEFT AXIS DEVIATION,54,9343,0.111,0.389,"(np.float64(0.265), np.float64(0.514))",0.992,"(np.float64(0.99), np.float64(0.994))",0.282,"(np.float64(0.206), np.float64(0.38))",0.221,"(np.float64(0.139), np.float64(0.298))",0.996,"(np.float64(0.995), np.float64(0.998))",0.972,"(np.float64(0.962), np.float64(0.979))",0.168,"(np.float64(0.105), np.float64(0.269))"
ATRIAL FLUTTER,31,9366,0.232,0.194,"(np.float64(0.086), np.float64(0.333))",1.0,"(np.float64(0.999), np.float64(1.0))",0.293,"(np.float64(0.104), np.float64(0.466))",0.6,"(np.float64(0.23), np.float64(0.882))",0.997,"(np.float64(0.996), np.float64(0.998))",0.969,"(np.float64(0.955), np.float64(0.984))",0.207,"(np.float64(0.113), np.float64(0.382))"
ANTEROSEPTAL INFARCT,14,9383,0.04,0.5,"(np.float64(0.258), np.float64(0.8))",0.999,"(np.float64(0.998), np.float64(0.999))",0.424,"(np.float64(0.158), np.float64(0.635))",0.368,"(np.float64(0.165), np.float64(0.595))",0.999,"(np.float64(0.999), np.float64(1.0))",0.961,"(np.float64(0.913), np.float64(0.995))",0.246,"(np.float64(0.068), np.float64(0.505))"
