Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.303,0.737,"(np.float64(0.571), np.float64(0.892))",1.0,"(np.float64(1.0), np.float64(1.0))",0.824,"(np.float64(0.667), np.float64(0.921))",0.933,"(np.float64(0.718), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.997,"(np.float64(0.992), np.float64(1.0))",0.832,"(np.float64(0.642), np.float64(0.961))"
LATERAL INFARCT,3,9394,0.04,0.333,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(1.0), np.float64(1.0))",0.5,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(0.0), np.float64(1.0))",1.0,"(np.float64(0.999), np.float64(1.0))",0.996,"(np.float64(0.987), np.float64(1.0))",0.437,"(np.float64(0.008), np.float64(1.0))"
VENTRICULAR TACHYCARDIA,81,9316,0.384,0.728,"(np.float64(0.655), np.float64(0.835))",0.998,"(np.float64(0.997), np.float64(0.999))",0.752,"(np.float64(0.669), np.float64(0.834))",0.776,"(np.float64(0.674), np.float64(0.86))",0.998,"(np.float64(0.997), np.float64(0.999))",0.994,"(np.float64(0.988), np.float64(0.998))",0.792,"(np.float64(0.716), np.float64(0.864))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.404,0.8,"(np.float64(0.756), np.float64(0.853))",0.993,"(np.float64(0.99), np.float64(0.995))",0.788,"(np.float64(0.757), np.float64(0.826))",0.776,"(np.float64(0.728), np.float64(0.811))",0.994,"(np.float64(0.992), np.float64(0.995))",0.989,"(np.float64(0.985), np.float64(0.992))",0.799,"(np.float64(0.747), np.float64(0.851))"
SINUS BRADYCARDIA,935,8462,0.596,0.877,"(np.float64(0.852), np.float64(0.897))",0.983,"(np.float64(0.98), np.float64(0.986))",0.864,"(np.float64(0.853), np.float64(0.876))",0.852,"(np.float64(0.827), np.float64(0.876))",0.986,"(np.float64(0.984), np.float64(0.989))",0.987,"(np.float64(0.984), np.float64(0.99))",0.913,"(np.float64(0.894), np.float64(0.929))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.394,0.789,"(np.float64(0.75), np.float64(0.827))",0.987,"(np.float64(0.985), np.float64(0.99))",0.737,"(np.float64(0.708), np.float64(0.772))",0.691,"(np.float64(0.65), np.float64(0.725))",0.992,"(np.float64(0.991), np.float64(0.994))",0.986,"(np.float64(0.981), np.float64(0.99))",0.769,"(np.float64(0.728), np.float64(0.805))"
LEFT AXIS DEVIATION,54,9343,0.172,0.37,"(np.float64(0.243), np.float64(0.481))",0.996,"(np.float64(0.995), np.float64(0.997))",0.37,"(np.float64(0.228), np.float64(0.477))",0.37,"(np.float64(0.251), np.float64(0.531))",0.996,"(np.float64(0.995), np.float64(0.997))",0.979,"(np.float64(0.97), np.float64(0.99))",0.28,"(np.float64(0.208), np.float64(0.396))"
ACUTE PERICARDITIS,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.978,"(np.float64(0.975), np.float64(0.98))",0.005,"(np.float64(0.004), np.float64(0.019))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.162,0.489,"(np.float64(0.329), np.float64(0.649))",0.999,"(np.float64(0.998), np.float64(0.999))",0.564,"(np.float64(0.447), np.float64(0.667))",0.667,"(np.float64(0.508), np.float64(0.82))",0.998,"(np.float64(0.996), np.float64(0.998))",0.973,"(np.float64(0.953), np.float64(0.986))",0.524,"(np.float64(0.39), np.float64(0.636))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.374,0.5,"(np.float64(0.242), np.float64(0.697))",1.0,"(np.float64(1.0), np.float64(1.0))",0.643,"(np.float64(0.414), np.float64(0.794))",0.9,"(np.float64(0.667), np.float64(1.0))",0.999,"(np.float64(0.998), np.float64(1.0))",0.973,"(np.float64(0.905), np.float64(0.999))",0.646,"(np.float64(0.39), np.float64(0.823))"
