Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.081,0.368,"(np.float64(0.166), np.float64(0.583))",0.999,"(np.float64(0.998), np.float64(0.999))",0.389,"(np.float64(0.202), np.float64(0.575))",0.412,"(np.float64(0.133), np.float64(0.702))",0.999,"(np.float64(0.998), np.float64(0.999))",0.98,"(np.float64(0.961), np.float64(0.995))",0.269,"(np.float64(0.13), np.float64(0.482))"
SINUS BRADYCARDIA,935,8462,0.515,0.796,"(np.float64(0.77), np.float64(0.822))",0.974,"(np.float64(0.971), np.float64(0.977))",0.785,"(np.float64(0.769), np.float64(0.802))",0.774,"(np.float64(0.748), np.float64(0.795))",0.977,"(np.float64(0.974), np.float64(0.98))",0.976,"(np.float64(0.972), np.float64(0.98))",0.838,"(np.float64(0.818), np.float64(0.857))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.101,0.69,"(np.float64(0.64), np.float64(0.741))",0.973,"(np.float64(0.969), np.float64(0.976))",0.542,"(np.float64(0.503), np.float64(0.592))",0.446,"(np.float64(0.407), np.float64(0.495))",0.99,"(np.float64(0.988), np.float64(0.992))",0.969,"(np.float64(0.963), np.float64(0.977))",0.485,"(np.float64(0.431), np.float64(0.547))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.131,0.69,"(np.float64(0.646), np.float64(0.735))",0.977,"(np.float64(0.975), np.float64(0.98))",0.592,"(np.float64(0.557), np.float64(0.636))",0.517,"(np.float64(0.476), np.float64(0.565))",0.989,"(np.float64(0.987), np.float64(0.991))",0.969,"(np.float64(0.964), np.float64(0.975))",0.592,"(np.float64(0.537), np.float64(0.661))"
VENTRICULAR TACHYCARDIA,81,9316,0.111,0.543,"(np.float64(0.449), np.float64(0.652))",0.994,"(np.float64(0.992), np.float64(0.995))",0.478,"(np.float64(0.403), np.float64(0.544))",0.427,"(np.float64(0.347), np.float64(0.515))",0.996,"(np.float64(0.995), np.float64(0.997))",0.961,"(np.float64(0.942), np.float64(0.98))",0.431,"(np.float64(0.341), np.float64(0.543))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.293,0.654,"(np.float64(0.618), np.float64(0.692))",0.962,"(np.float64(0.958), np.float64(0.966))",0.615,"(np.float64(0.587), np.float64(0.639))",0.58,"(np.float64(0.55), np.float64(0.613))",0.972,"(np.float64(0.969), np.float64(0.976))",0.949,"(np.float64(0.942), np.float64(0.957))",0.632,"(np.float64(0.59), np.float64(0.667))"
RIGHT AXIS DEVIATION,335,9062,0.222,0.621,"(np.float64(0.568), np.float64(0.679))",0.953,"(np.float64(0.948), np.float64(0.957))",0.428,"(np.float64(0.387), np.float64(0.469))",0.327,"(np.float64(0.288), np.float64(0.36))",0.986,"(np.float64(0.983), np.float64(0.988))",0.947,"(np.float64(0.939), np.float64(0.954))",0.337,"(np.float64(0.3), np.float64(0.39))"
LEFT AXIS DEVIATION,54,9343,0.02,0.463,"(np.float64(0.325), np.float64(0.579))",0.964,"(np.float64(0.96), np.float64(0.967))",0.119,"(np.float64(0.084), np.float64(0.17))",0.068,"(np.float64(0.044), np.float64(0.096))",0.997,"(np.float64(0.996), np.float64(0.998))",0.945,"(np.float64(0.932), np.float64(0.957))",0.07,"(np.float64(0.053), np.float64(0.113))"
PREMATURE ATRIAL COMPLEXES,1,9396,0.0,1.0,"(np.float64(0.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.001))",0.0,"(np.float64(0.0), np.float64(0.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.938,"(np.float64(0.933), np.float64(0.942))",0.002,"(np.float64(0.002), np.float64(0.007))"
SINUS TACHYCARDIA,2210,7187,0.323,0.773,"(np.float64(0.758), np.float64(0.789))",0.896,"(np.float64(0.89), np.float64(0.903))",0.732,"(np.float64(0.719), np.float64(0.748))",0.695,"(np.float64(0.679), np.float64(0.711))",0.928,"(np.float64(0.923), np.float64(0.933))",0.925,"(np.float64(0.92), np.float64(0.931))",0.779,"(np.float64(0.764), np.float64(0.798))"
