Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
PREMATURE ATRIAL COMPLEXES,1,9396,0.03,1.0,"(np.float64(0.0), np.float64(1.0))",0.935,"(np.float64(0.931), np.float64(0.941))",0.003,"(np.float64(0.0), np.float64(0.012))",0.002,"(np.float64(0.0), np.float64(0.005))",1.0,"(np.float64(1.0), np.float64(1.0))",0.963,"(np.float64(0.96), np.float64(0.967))",0.003,"(np.float64(0.003), np.float64(0.009))"
LOW VOLTAGE QRS,277,9120,0.071,0.296,"(np.float64(0.24), np.float64(0.348))",0.88,"(np.float64(0.874), np.float64(0.888))",0.113,"(np.float64(0.086), np.float64(0.138))",0.07,"(np.float64(0.053), np.float64(0.087))",0.976,"(np.float64(0.974), np.float64(0.979))",0.67,"(np.float64(0.645), np.float64(0.697))",0.055,"(np.float64(0.045), np.float64(0.073))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.091,0.619,"(np.float64(0.583), np.float64(0.655))",0.629,"(np.float64(0.62), np.float64(0.64))",0.197,"(np.float64(0.183), np.float64(0.215))",0.117,"(np.float64(0.107), np.float64(0.128))",0.954,"(np.float64(0.949), np.float64(0.958))",0.67,"(np.float64(0.654), np.float64(0.686))",0.12,"(np.float64(0.107), np.float64(0.136))"
RIGHT ATRIAL ENLARGEMENT,201,9196,0.333,0.224,"(np.float64(0.172), np.float64(0.288))",0.926,"(np.float64(0.92), np.float64(0.93))",0.097,"(np.float64(0.078), np.float64(0.124))",0.062,"(np.float64(0.046), np.float64(0.08))",0.982,"(np.float64(0.98), np.float64(0.985))",0.65,"(np.float64(0.614), np.float64(0.683))",0.042,"(np.float64(0.032), np.float64(0.06))"
WITH AV DISSOCIATION,70,9327,0.01,0.029,"(np.float64(0.0), np.float64(0.081))",0.992,"(np.float64(0.991), np.float64(0.993))",0.027,"(np.float64(0.0), np.float64(0.067))",0.026,"(np.float64(0.0), np.float64(0.076))",0.993,"(np.float64(0.991), np.float64(0.994))",0.645,"(np.float64(0.588), np.float64(0.7))",0.018,"(np.float64(0.01), np.float64(0.048))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.0,1.0,"(np.float64(1.0), np.float64(1.0))",0.0,"(np.float64(0.0), np.float64(0.0))",0.004,"(np.float64(0.002), np.float64(0.006))",0.002,"(np.float64(0.001), np.float64(0.003))",0.0,"(np.float64(0.0), np.float64(0.0))",0.628,"(np.float64(0.499), np.float64(0.75))",0.003,"(np.float64(0.002), np.float64(0.006))"
RIGHT AXIS DEVIATION,335,9062,0.091,0.546,"(np.float64(0.497), np.float64(0.588))",0.642,"(np.float64(0.633), np.float64(0.653))",0.097,"(np.float64(0.088), np.float64(0.109))",0.053,"(np.float64(0.046), np.float64(0.061))",0.975,"(np.float64(0.971), np.float64(0.978))",0.619,"(np.float64(0.585), np.float64(0.644))",0.05,"(np.float64(0.044), np.float64(0.057))"
ATRIAL FIBRILLATION,25,9372,0.03,0.44,"(np.float64(0.268), np.float64(0.622))",0.809,"(np.float64(0.802), np.float64(0.819))",0.012,"(np.float64(0.006), np.float64(0.019))",0.006,"(np.float64(0.003), np.float64(0.01))",0.998,"(np.float64(0.997), np.float64(0.999))",0.617,"(np.float64(0.499), np.float64(0.72))",0.004,"(np.float64(0.003), np.float64(0.009))"
SINUS TACHYCARDIA,2210,7187,0.182,0.786,"(np.float64(0.767), np.float64(0.802))",0.358,"(np.float64(0.348), np.float64(0.367))",0.406,"(np.float64(0.393), np.float64(0.418))",0.273,"(np.float64(0.264), np.float64(0.284))",0.845,"(np.float64(0.833), np.float64(0.856))",0.612,"(np.float64(0.601), np.float64(0.627))",0.331,"(np.float64(0.317), np.float64(0.35))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.273,0.486,"(np.float64(0.421), np.float64(0.551))",0.659,"(np.float64(0.648), np.float64(0.669))",0.088,"(np.float64(0.075), np.float64(0.098))",0.048,"(np.float64(0.041), np.float64(0.054))",0.973,"(np.float64(0.969), np.float64(0.977))",0.607,"(np.float64(0.583), np.float64(0.627))",0.051,"(np.float64(0.044), np.float64(0.067))"
WITH JUNCTIONAL ESCAPE COMPLEXES,184,9213,0.051,0.185,"(np.float64(0.128), np.float64(0.246))",0.915,"(np.float64(0.909), np.float64(0.92))",0.068,"(np.float64(0.045), np.float64(0.086))",0.042,"(np.float64(0.03), np.float64(0.057))",0.983,"(np.float64(0.98), np.float64(0.985))",0.599,"(np.float64(0.558), np.float64(0.63))",0.031,"(np.float64(0.023), np.float64(0.046))"
SINUS BRADYCARDIA,935,8462,0.01,0.907,"(np.float64(0.883), np.float64(0.923))",0.239,"(np.float64(0.23), np.float64(0.248))",0.206,"(np.float64(0.194), np.float64(0.218))",0.116,"(np.float64(0.109), np.float64(0.123))",0.959,"(np.float64(0.951), np.float64(0.965))",0.593,"(np.float64(0.579), np.float64(0.611))",0.121,"(np.float64(0.112), np.float64(0.132))"
VENTRICULAR TACHYCARDIA,81,9316,0.657,0.062,"(np.float64(0.012), np.float64(0.114))",0.994,"(np.float64(0.992), np.float64(0.995))",0.071,"(np.float64(0.015), np.float64(0.137))",0.083,"(np.float64(0.015), np.float64(0.157))",0.992,"(np.float64(0.99), np.float64(0.994))",0.585,"(np.float64(0.515), np.float64(0.658))",0.032,"(np.float64(0.013), np.float64(0.07))"
WITH 2:1 AV CONDUCTION,40,9357,0.071,0.075,"(np.float64(0.0), np.float64(0.161))",0.981,"(np.float64(0.979), np.float64(0.984))",0.028,"(np.float64(0.0), np.float64(0.054))",0.017,"(np.float64(0.002), np.float64(0.036))",0.996,"(np.float64(0.995), np.float64(0.997))",0.576,"(np.float64(0.473), np.float64(0.649))",0.007,"(np.float64(0.004), np.float64(0.014))"
NONSPECIFIC T WAVE ABNORMALITY,2544,6853,0.02,1.0,"(np.float64(0.999), np.float64(1.0))",0.001,"(np.float64(0.0), np.float64(0.002))",0.426,"(np.float64(0.414), np.float64(0.439))",0.271,"(np.float64(0.263), np.float64(0.28))",0.875,"(np.float64(0.577), np.float64(1.0))",0.572,"(np.float64(0.561), np.float64(0.585))",0.349,"(np.float64(0.335), np.float64(0.366))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.455,0.022,"(np.float64(0.0), np.float64(0.091))",0.995,"(np.float64(0.993), np.float64(0.996))",0.022,"(np.float64(0.0), np.float64(0.064))",0.022,"(np.float64(0.0), np.float64(0.078))",0.995,"(np.float64(0.994), np.float64(0.996))",0.554,"(np.float64(0.483), np.float64(0.634))",0.006,"(np.float64(0.004), np.float64(0.012))"
LEFT ATRIAL ENLARGEMENT,184,9213,0.081,0.326,"(np.float64(0.268), np.float64(0.409))",0.75,"(np.float64(0.74), np.float64(0.76))",0.047,"(np.float64(0.037), np.float64(0.056))",0.025,"(np.float64(0.019), np.float64(0.031))",0.982,"(np.float64(0.979), np.float64(0.985))",0.544,"(np.float64(0.507), np.float64(0.585))",0.023,"(np.float64(0.019), np.float64(0.029))"
LEFT AXIS DEVIATION,54,9343,0.525,0.056,"(np.float64(0.017), np.float64(0.122))",0.992,"(np.float64(0.991), np.float64(0.994))",0.047,"(np.float64(0.007), np.float64(0.099))",0.041,"(np.float64(0.0), np.float64(0.087))",0.995,"(np.float64(0.993), np.float64(0.996))",0.543,"(np.float64(0.469), np.float64(0.635))",0.017,"(np.float64(0.006), np.float64(0.064))"
otherwise normal ecg,621,8776,0.01,0.702,"(np.float64(0.665), np.float64(0.748))",0.337,"(np.float64(0.328), np.float64(0.349))",0.127,"(np.float64(0.118), np.float64(0.137))",0.07,"(np.float64(0.064), np.float64(0.076))",0.941,"(np.float64(0.933), np.float64(0.949))",0.54,"(np.float64(0.515), np.float64(0.564))",0.079,"(np.float64(0.07), np.float64(0.089))"
ANTEROSEPTAL INFARCT,14,9383,0.101,0.143,"(np.float64(0.0), np.float64(0.382))",0.96,"(np.float64(0.957), np.float64(0.963))",0.01,"(np.float64(0.0), np.float64(0.021))",0.005,"(np.float64(0.0), np.float64(0.014))",0.999,"(np.float64(0.998), np.float64(0.999))",0.539,"(np.float64(0.426), np.float64(0.718))",0.002,"(np.float64(0.001), np.float64(0.007))"
ATRIAL FLUTTER,31,9366,0.131,0.065,"(np.float64(0.0), np.float64(0.157))",0.97,"(np.float64(0.966), np.float64(0.973))",0.013,"(np.float64(0.0), np.float64(0.035))",0.007,"(np.float64(0.0), np.float64(0.016))",0.997,"(np.float64(0.996), np.float64(0.998))",0.531,"(np.float64(0.445), np.float64(0.619))",0.004,"(np.float64(0.002), np.float64(0.006))"
LEFT VENTRICULAR HYPERTROPHY,348,9049,0.091,0.342,"(np.float64(0.301), np.float64(0.391))",0.716,"(np.float64(0.708), np.float64(0.724))",0.078,"(np.float64(0.065), np.float64(0.091))",0.044,"(np.float64(0.038), np.float64(0.052))",0.966,"(np.float64(0.961), np.float64(0.97))",0.53,"(np.float64(0.499), np.float64(0.565))",0.042,"(np.float64(0.035), np.float64(0.049))"
PROLONGED QT,427,8970,0.03,0.803,"(np.float64(0.775), np.float64(0.845))",0.229,"(np.float64(0.219), np.float64(0.238))",0.089,"(np.float64(0.082), np.float64(0.098))",0.047,"(np.float64(0.043), np.float64(0.051))",0.961,"(np.float64(0.953), np.float64(0.967))",0.518,"(np.float64(0.493), np.float64(0.541))",0.05,"(np.float64(0.044), np.float64(0.062))"
FUSION COMPLEXES,27,9370,0.212,0.037,"(np.float64(0.0), np.float64(0.115))",0.998,"(np.float64(0.997), np.float64(0.998))",0.039,"(np.float64(0.0), np.float64(0.114))",0.042,"(np.float64(0.0), np.float64(0.135))",0.997,"(np.float64(0.996), np.float64(0.998))",0.516,"(np.float64(0.412), np.float64(0.627))",0.006,"(np.float64(0.003), np.float64(0.028))"
WITH VENTRICULAR ESCAPE COMPLEXES,32,9365,0.01,0.156,"(np.float64(0.039), np.float64(0.271))",0.88,"(np.float64(0.874), np.float64(0.887))",0.009,"(np.float64(0.003), np.float64(0.016))",0.004,"(np.float64(0.002), np.float64(0.007))",0.997,"(np.float64(0.995), np.float64(0.998))",0.516,"(np.float64(0.413), np.float64(0.62))",0.004,"(np.float64(0.003), np.float64(0.006))"
