Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.222,0.632,"(np.float64(0.383), np.float64(0.805))",1.0,"(np.float64(1.0), np.float64(1.0))",0.75,"(np.float64(0.571), np.float64(0.878))",0.923,"(np.float64(0.778), np.float64(1.0))",0.999,"(np.float64(0.999), np.float64(1.0))",0.99,"(np.float64(0.978), np.float64(0.999))",0.701,"(np.float64(0.524), np.float64(0.868))"
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.646,0.659,"(np.float64(0.602), np.float64(0.721))",0.992,"(np.float64(0.99), np.float64(0.993))",0.685,"(np.float64(0.635), np.float64(0.724))",0.713,"(np.float64(0.652), np.float64(0.76))",0.989,"(np.float64(0.986), np.float64(0.991))",0.984,"(np.float64(0.979), np.float64(0.988))",0.744,"(np.float64(0.673), np.float64(0.796))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.384,0.731,"(np.float64(0.683), np.float64(0.775))",0.984,"(np.float64(0.982), np.float64(0.987))",0.673,"(np.float64(0.632), np.float64(0.713))",0.624,"(np.float64(0.577), np.float64(0.674))",0.99,"(np.float64(0.988), np.float64(0.992))",0.984,"(np.float64(0.981), np.float64(0.987))",0.71,"(np.float64(0.664), np.float64(0.757))"
VENTRICULAR TACHYCARDIA,81,9316,0.253,0.58,"(np.float64(0.471), np.float64(0.705))",0.998,"(np.float64(0.997), np.float64(0.999))",0.648,"(np.float64(0.558), np.float64(0.726))",0.734,"(np.float64(0.623), np.float64(0.842))",0.996,"(np.float64(0.995), np.float64(0.997))",0.983,"(np.float64(0.965), np.float64(0.995))",0.677,"(np.float64(0.59), np.float64(0.746))"
SINUS BRADYCARDIA,935,8462,0.394,0.831,"(np.float64(0.815), np.float64(0.854))",0.981,"(np.float64(0.978), np.float64(0.984))",0.83,"(np.float64(0.814), np.float64(0.845))",0.828,"(np.float64(0.803), np.float64(0.853))",0.981,"(np.float64(0.978), np.float64(0.984))",0.981,"(np.float64(0.977), np.float64(0.984))",0.895,"(np.float64(0.88), np.float64(0.908))"
ATRIAL FLUTTER,31,9366,0.081,0.387,"(np.float64(0.246), np.float64(0.561))",0.998,"(np.float64(0.997), np.float64(0.999))",0.375,"(np.float64(0.229), np.float64(0.517))",0.364,"(np.float64(0.183), np.float64(0.522))",0.998,"(np.float64(0.997), np.float64(0.999))",0.974,"(np.float64(0.961), np.float64(0.985))",0.287,"(np.float64(0.154), np.float64(0.451))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.111,0.556,"(np.float64(0.345), np.float64(0.769))",0.999,"(np.float64(0.998), np.float64(0.999))",0.5,"(np.float64(0.324), np.float64(0.65))",0.455,"(np.float64(0.256), np.float64(0.639))",0.999,"(np.float64(0.998), np.float64(1.0))",0.972,"(np.float64(0.921), np.float64(0.998))",0.427,"(np.float64(0.246), np.float64(0.639))"
SUPRAVENTRICULAR TACHYCARDIA,45,9352,0.051,0.422,"(np.float64(0.295), np.float64(0.597))",0.994,"(np.float64(0.992), np.float64(0.995))",0.311,"(np.float64(0.197), np.float64(0.4))",0.247,"(np.float64(0.182), np.float64(0.338))",0.997,"(np.float64(0.996), np.float64(0.998))",0.963,"(np.float64(0.946), np.float64(0.98))",0.289,"(np.float64(0.174), np.float64(0.45))"
LEFT AXIS DEVIATION,54,9343,0.071,0.315,"(np.float64(0.216), np.float64(0.409))",0.99,"(np.float64(0.987), np.float64(0.991))",0.201,"(np.float64(0.112), np.float64(0.269))",0.148,"(np.float64(0.077), np.float64(0.214))",0.996,"(np.float64(0.995), np.float64(0.997))",0.96,"(np.float64(0.943), np.float64(0.972))",0.165,"(np.float64(0.103), np.float64(0.279))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.283,0.733,"(np.float64(0.703), np.float64(0.763))",0.966,"(np.float64(0.962), np.float64(0.97))",0.679,"(np.float64(0.653), np.float64(0.701))",0.633,"(np.float64(0.612), np.float64(0.664))",0.978,"(np.float64(0.975), np.float64(0.981))",0.96,"(np.float64(0.955), np.float64(0.964))",0.712,"(np.float64(0.664), np.float64(0.75))"
RIGHT AXIS DEVIATION,335,9062,0.303,0.499,"(np.float64(0.443), np.float64(0.55))",0.983,"(np.float64(0.98), np.float64(0.985))",0.506,"(np.float64(0.457), np.float64(0.557))",0.514,"(np.float64(0.453), np.float64(0.565))",0.981,"(np.float64(0.979), np.float64(0.984))",0.958,"(np.float64(0.951), np.float64(0.965))",0.507,"(np.float64(0.454), np.float64(0.559))"
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,336,9061,0.434,0.622,"(np.float64(0.561), np.float64(0.667))",0.975,"(np.float64(0.972), np.float64(0.978))",0.544,"(np.float64(0.507), np.float64(0.58))",0.483,"(np.float64(0.44), np.float64(0.525))",0.986,"(np.float64(0.983), np.float64(0.988))",0.956,"(np.float64(0.948), np.float64(0.965))",0.546,"(np.float64(0.503), np.float64(0.613))"
SINUS TACHYCARDIA,2210,7187,0.384,0.886,"(np.float64(0.873), np.float64(0.9))",0.869,"(np.float64(0.86), np.float64(0.876))",0.766,"(np.float64(0.755), np.float64(0.779))",0.675,"(np.float64(0.66), np.float64(0.69))",0.961,"(np.float64(0.957), np.float64(0.965))",0.948,"(np.float64(0.943), np.float64(0.952))",0.846,"(np.float64(0.832), np.float64(0.86))"
