Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
RIGHT BUNDLE BRANCH BLOCK,290,9107,0.566,0.845,"(np.float64(0.811), np.float64(0.883))",0.994,"(np.float64(0.993), np.float64(0.996))",0.833,"(np.float64(0.805), np.float64(0.863))",0.822,"(np.float64(0.771), np.float64(0.863))",0.995,"(np.float64(0.994), np.float64(0.997))",0.994,"(np.float64(0.991), np.float64(0.997))",0.896,"(np.float64(0.86), np.float64(0.92))"
SINUS BRADYCARDIA,935,8462,0.606,0.92,"(np.float64(0.906), np.float64(0.936))",0.99,"(np.float64(0.988), np.float64(0.992))",0.914,"(np.float64(0.902), np.float64(0.929))",0.909,"(np.float64(0.892), np.float64(0.928))",0.991,"(np.float64(0.99), np.float64(0.993))",0.993,"(np.float64(0.99), np.float64(0.995))",0.962,"(np.float64(0.953), np.float64(0.97))"
LEFT ANTERIOR FASCICULAR BLOCK,323,9074,0.394,0.82,"(np.float64(0.773), np.float64(0.858))",0.992,"(np.float64(0.991), np.float64(0.994))",0.807,"(np.float64(0.773), np.float64(0.836))",0.793,"(np.float64(0.753), np.float64(0.83))",0.994,"(np.float64(0.992), np.float64(0.995))",0.991,"(np.float64(0.987), np.float64(0.994))",0.854,"(np.float64(0.814), np.float64(0.887))"
VENTRICULAR TACHYCARDIA,81,9316,0.343,0.704,"(np.float64(0.588), np.float64(0.802))",0.997,"(np.float64(0.996), np.float64(0.998))",0.679,"(np.float64(0.604), np.float64(0.74))",0.655,"(np.float64(0.554), np.float64(0.741))",0.997,"(np.float64(0.996), np.float64(0.998))",0.99,"(np.float64(0.982), np.float64(0.997))",0.746,"(np.float64(0.645), np.float64(0.827))"
ATRIAL FLUTTER,31,9366,0.121,0.581,"(np.float64(0.413), np.float64(0.715))",0.997,"(np.float64(0.996), np.float64(0.998))",0.486,"(np.float64(0.38), np.float64(0.643))",0.419,"(np.float64(0.279), np.float64(0.561))",0.999,"(np.float64(0.998), np.float64(0.999))",0.987,"(np.float64(0.98), np.float64(0.995))",0.459,"(np.float64(0.337), np.float64(0.684))"
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.657,0.684,"(np.float64(0.48), np.float64(0.909))",0.999,"(np.float64(0.999), np.float64(1.0))",0.703,"(np.float64(0.545), np.float64(0.849))",0.722,"(np.float64(0.5), np.float64(0.926))",0.999,"(np.float64(0.999), np.float64(1.0))",0.985,"(np.float64(0.969), np.float64(0.996))",0.661,"(np.float64(0.438), np.float64(0.834))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.172,0.444,"(np.float64(0.2), np.float64(0.667))",0.999,"(np.float64(0.998), np.float64(1.0))",0.471,"(np.float64(0.261), np.float64(0.661))",0.5,"(np.float64(0.201), np.float64(0.781))",0.999,"(np.float64(0.998), np.float64(1.0))",0.979,"(np.float64(0.956), np.float64(0.996))",0.377,"(np.float64(0.127), np.float64(0.622))"
WITH 2:1 AV CONDUCTION,40,9357,0.131,0.425,"(np.float64(0.272), np.float64(0.566))",0.997,"(np.float64(0.996), np.float64(0.998))",0.42,"(np.float64(0.308), np.float64(0.564))",0.415,"(np.float64(0.278), np.float64(0.57))",0.998,"(np.float64(0.996), np.float64(0.999))",0.978,"(np.float64(0.967), np.float64(0.987))",0.377,"(np.float64(0.218), np.float64(0.538))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.657,0.799,"(np.float64(0.777), np.float64(0.827))",0.977,"(np.float64(0.975), np.float64(0.98))",0.766,"(np.float64(0.743), np.float64(0.788))",0.736,"(np.float64(0.708), np.float64(0.764))",0.984,"(np.float64(0.982), np.float64(0.987))",0.978,"(np.float64(0.973), np.float64(0.983))",0.814,"(np.float64(0.788), np.float64(0.844))"
SINUS TACHYCARDIA,2210,7187,0.384,0.875,"(np.float64(0.863), np.float64(0.889))",0.949,"(np.float64(0.945), np.float64(0.955))",0.858,"(np.float64(0.848), np.float64(0.867))",0.842,"(np.float64(0.826), np.float64(0.852))",0.961,"(np.float64(0.957), np.float64(0.966))",0.974,"(np.float64(0.972), np.float64(0.977))",0.932,"(np.float64(0.924), np.float64(0.939))"
RIGHT AXIS DEVIATION,335,9062,0.374,0.746,"(np.float64(0.704), np.float64(0.794))",0.976,"(np.float64(0.972), np.float64(0.979))",0.621,"(np.float64(0.585), np.float64(0.656))",0.532,"(np.float64(0.484), np.float64(0.575))",0.99,"(np.float64(0.988), np.float64(0.992))",0.972,"(np.float64(0.966), np.float64(0.979))",0.655,"(np.float64(0.608), np.float64(0.7))"
WITH VARIABLE AV BLOCK,67,9330,0.333,0.478,"(np.float64(0.38), np.float64(0.585))",0.994,"(np.float64(0.992), np.float64(0.996))",0.416,"(np.float64(0.312), np.float64(0.492))",0.368,"(np.float64(0.297), np.float64(0.479))",0.996,"(np.float64(0.995), np.float64(0.997))",0.971,"(np.float64(0.955), np.float64(0.98))",0.362,"(np.float64(0.254), np.float64(0.472))"
WITH COMPLETE HEART BLOCK,67,9330,0.394,0.612,"(np.float64(0.516), np.float64(0.733))",0.998,"(np.float64(0.997), np.float64(0.999))",0.646,"(np.float64(0.533), np.float64(0.737))",0.683,"(np.float64(0.573), np.float64(0.8))",0.997,"(np.float64(0.996), np.float64(0.998))",0.968,"(np.float64(0.935), np.float64(0.988))",0.644,"(np.float64(0.518), np.float64(0.735))"
LEFT AXIS DEVIATION,54,9343,0.071,0.648,"(np.float64(0.535), np.float64(0.739))",0.969,"(np.float64(0.966), np.float64(0.973))",0.186,"(np.float64(0.138), np.float64(0.235))",0.108,"(np.float64(0.072), np.float64(0.144))",0.998,"(np.float64(0.997), np.float64(0.999))",0.965,"(np.float64(0.953), np.float64(0.976))",0.109,"(np.float64(0.078), np.float64(0.187))"
