Label,n_pos,n_neg,Threshold,Sensitivity,Sensitivity_CI,Specificity,Specificity_CI,F1,F1_CI,PPV,PPV_CI,NPV,NPV_CI,AUROC,AUROC_CI,AUPRC,AUPRC_CI
PREMATURE ATRIAL COMPLEXES,1,9396,0.273,1.0,"(np.float64(0.0), np.float64(1.0))",0.981,"(np.float64(0.978), np.float64(0.983))",0.011,"(np.float64(0.0), np.float64(0.037))",0.005,"(np.float64(0.0), np.float64(0.018))",1.0,"(np.float64(1.0), np.float64(1.0))",0.984,"(np.float64(0.982), np.float64(0.987))",0.007,"(np.float64(0.006), np.float64(0.02))"
LEFT BUNDLE BRANCH BLOCK,18,9379,0.162,0.167,"(np.float64(0.0), np.float64(0.38))",0.992,"(np.float64(0.991), np.float64(0.994))",0.065,"(np.float64(0.0), np.float64(0.133))",0.04,"(np.float64(0.011), np.float64(0.103))",0.998,"(np.float64(0.997), np.float64(0.999))",0.817,"(np.float64(0.758), np.float64(0.865))",0.011,"(np.float64(0.004), np.float64(0.052))"
RIGHT VENTRICULAR HYPERTROPHY,693,8704,0.414,0.483,"(np.float64(0.449), np.float64(0.521))",0.849,"(np.float64(0.841), np.float64(0.856))",0.286,"(np.float64(0.263), np.float64(0.31))",0.203,"(np.float64(0.186), np.float64(0.221))",0.954,"(np.float64(0.95), np.float64(0.957))",0.777,"(np.float64(0.758), np.float64(0.792))",0.214,"(np.float64(0.187), np.float64(0.242))"
RIGHT AXIS DEVIATION,335,9062,0.354,0.406,"(np.float64(0.357), np.float64(0.452))",0.893,"(np.float64(0.885), np.float64(0.897))",0.188,"(np.float64(0.162), np.float64(0.22))",0.123,"(np.float64(0.104), np.float64(0.141))",0.976,"(np.float64(0.973), np.float64(0.979))",0.774,"(np.float64(0.75), np.float64(0.795))",0.117,"(np.float64(0.097), np.float64(0.145))"
LEFT AXIS DEVIATION,54,9343,0.939,0.056,"(np.float64(0.0), np.float64(0.117))",0.998,"(np.float64(0.997), np.float64(0.999))",0.077,"(np.float64(0.024), np.float64(0.174))",0.125,"(np.float64(0.0), np.float64(0.25))",0.995,"(np.float64(0.993), np.float64(0.996))",0.766,"(np.float64(0.713), np.float64(0.811))",0.043,"(np.float64(0.015), np.float64(0.09))"
ANTERIOR INFARCT,5,9392,0.657,0.2,"(np.float64(0.0), np.float64(0.5))",0.996,"(np.float64(0.995), np.float64(0.998))",0.049,"(np.float64(0.0), np.float64(0.155))",0.028,"(np.float64(0.0), np.float64(0.089))",1.0,"(np.float64(0.999), np.float64(1.0))",0.718,"(np.float64(0.436), np.float64(0.961))",0.008,"(np.float64(0.0), np.float64(0.056))"
LEFT POSTERIOR FASCICULAR BLOCK,19,9378,0.434,0.105,"(np.float64(0.0), np.float64(0.233))",0.997,"(np.float64(0.996), np.float64(0.998))",0.082,"(np.float64(0.0), np.float64(0.188))",0.067,"(np.float64(0.0), np.float64(0.167))",0.998,"(np.float64(0.997), np.float64(0.999))",0.709,"(np.float64(0.597), np.float64(0.802))",0.014,"(np.float64(0.004), np.float64(0.047))"
FUSION COMPLEXES,27,9370,0.455,0.111,"(np.float64(0.0), np.float64(0.24))",0.977,"(np.float64(0.974), np.float64(0.98))",0.024,"(np.float64(0.0), np.float64(0.051))",0.014,"(np.float64(0.0), np.float64(0.027))",0.997,"(np.float64(0.996), np.float64(0.999))",0.693,"(np.float64(0.604), np.float64(0.775))",0.007,"(np.float64(0.003), np.float64(0.016))"
ANTEROSEPTAL INFARCT,14,9383,0.374,0.286,"(np.float64(0.077), np.float64(0.606))",0.96,"(np.float64(0.956), np.float64(0.964))",0.02,"(np.float64(0.006), np.float64(0.04))",0.011,"(np.float64(0.003), np.float64(0.022))",0.999,"(np.float64(0.998), np.float64(0.999))",0.685,"(np.float64(0.521), np.float64(0.819))",0.004,"(np.float64(0.002), np.float64(0.01))"
LOW VOLTAGE QRS,277,9120,0.424,0.224,"(np.float64(0.182), np.float64(0.272))",0.909,"(np.float64(0.903), np.float64(0.915))",0.106,"(np.float64(0.085), np.float64(0.133))",0.07,"(np.float64(0.054), np.float64(0.081))",0.975,"(np.float64(0.971), np.float64(0.978))",0.665,"(np.float64(0.638), np.float64(0.696))",0.055,"(np.float64(0.045), np.float64(0.069))"
